xml_file,wav_file,token_n,start,end,orth,ipa_gold,ipa_notone,ipa_full_normalized,changed,source_corpus
190710_0260.xml,190710_0260.wav,1,2.04,3.77,naá,na˩a↗,naa,naa,yes,single-word
190710_0260.xml,190710_0260.wav,2,3.77,5.08,naá,na˩a↗,naa,naa,yes,single-word
190710_0260.xml,190710_0260.wav,3,7.10,9.16,náa,na˧˥a↘,naa,naa,yes,single-word
190710_0260.xml,190710_0260.wav,4,9.16,12.17,náa,na˧˥a↘,naa,naa,yes,single-word
ADJ_new_01_spkrJS.xml,ADJ_new_01_spkrJS.wav,1,0,0.66,tsaa,tsaː↗↘,tsaː,t͡saa,yes,single-word
ADJ_new_01_spkrTS.xml,ADJ_new_01_spkrTS.wav,1,0,0.42,tsaa,,,,no,single-word
ADJ_new_02_spkrJS.xml,ADJ_new_02_spkrJS.wav,1,0,0.65,tsaa,tsaː↗↘,tsaː,t͡saa,yes,single-word
ADJ_new_02_spkrTS.xml,ADJ_new_02_spkrTS.wav,1,0,0.41,tsaa,,,,no,single-word
ADJ_not-difficult_01_02_03_spkrTS.xml,ADJ_not-difficult_01_02_03_spkrTS.wav,1,0,0.98,kue nchichi,kwe˧ ndʒ˥tʃi˩,kwe ndʒtʃi,kwe nd͡ʒt͡ʃi,yes,single-word
ADJ_not-difficult_01_02_03_spkrTS.xml,ADJ_not-difficult_01_02_03_spkrTS.wav,2,0.98,2.64,kue nchichi,kwe˧ndʒi˥tʃi˩,kwendʒitʃi,kwend͡ʒit͡ʃi,yes,single-word
ADJ_not-difficult_01_02_03_spkrTS.xml,ADJ_not-difficult_01_02_03_spkrTS.wav,3,2.64,4.27,kue nchichi,kwe˧ndʒi˥tʃi˩,kwendʒitʃi,kwend͡ʒit͡ʃi,yes,single-word
ADJ_sacred_01_02_03_04_JS.xml,ADJ_sacred_01_02_03_04_JS.wav,1,0,0.75,ii,iː↘↗,iː,ii,yes,single-word
ADJ_sacred_01_02_03_04_JS.xml,ADJ_sacred_01_02_03_04_JS.wav,2,0.75,1.39,ii,iː↘↗,iː,ii,yes,single-word
ADJ_sacred_01_02_03_04_JS.xml,ADJ_sacred_01_02_03_04_JS.wav,3,1.39,1.99,ii,iː↘↗,iː,ii,yes,single-word
ADJ_short_01_02_03_JS.xml,ADJ_short_01_02_03_JS.wav,1,0,1.51,cha'a,tʃa˥ʔa˩,tʃaʔa,t͡ʃaʔa,yes,single-word
ADJ_short_01_02_03_JS.xml,ADJ_short_01_02_03_JS.wav,2,1.51,3.42,cha'a,tʃa˥ʔa˩,tʃaʔa,t͡ʃaʔa,yes,single-word
ADJ_short_01_02_03_JS.xml,ADJ_short_01_02_03_JS.wav,3,3.42,4.90,cha'a,tʃ˥aʔa˩,tʃaʔa,t͡ʃaʔa,yes,single-word
ADJ_skinny_01_02_03_spkrJS.xml,ADJ_skinny_01_02_03_spkrJS.wav,1,0,1.48,tikatsa,di˩ka˩tsa˥,dikatsa,dikat͡sa,yes,single-word
ADJ_skinny_01_02_03_spkrJS.xml,ADJ_skinny_01_02_03_spkrJS.wav,2,1.48,3.14,tikatsa,di˩ka˩tsa˥,dikatsa,dikat͡sa,yes,single-word
ADJ_skinny_01_02_03_spkrJS.xml,ADJ_skinny_01_02_03_spkrJS.wav,3,3.14,4.72,tikatsa,di˩ka˩tsa˥,dikatsa,dikat͡sa,yes,single-word
ADJ_small_01_spkrJS.xml,ADJ_small_01_spkrJS.wav,1,0,1.38,luu,luː˥,luː,luu,yes,single-word
ADJ_smelly_01_02_03_spkrTS.xml,ADJ_smelly_01_02_03_spkrTS.wav,1,0,0.83,tsa'an,tsã˥ʔã˩,tsãʔã,t͡sãʔã,yes,single-word
ADJ_smelly_01_02_03_spkrTS.xml,ADJ_smelly_01_02_03_spkrTS.wav,2,0.83,1.67,tsa'an,tsã˥ʔã˩,tsãʔã,t͡sãʔã,yes,single-word
ADJ_smelly_01_02_03_spkrTS.xml,ADJ_smelly_01_02_03_spkrTS.wav,3,1.67,2.58,tsa'an,tsã˥ʔã˩,tsãʔã,t͡sãʔã,yes,single-word
ADJ_tall_1st_pl_01_JS.xml,ADJ_tall_1st_pl_01_JS.wav,1,0,1.24,suku,su˥ku↘,suku,suku,yes,single-word
ADJ_tall_1st_sg_01_JS.xml,ADJ_tall_1st_sg_01_JS.wav,1,0,0.71,suku,su˥ku↘,suku,suku,yes,single-word
ADJ_tall_2nd_sg_form_01_JS.xml,ADJ_tall_2nd_sg_form_01_JS.wav,1,0,1.00,suku,su˥ku↘,suku,suku,yes,single-word
ADJ_tall_2nd_sg_inf_01_JS.xml,ADJ_tall_2nd_sg_inf_01_JS.wav,1,0,0.94,suku,su˥ku↘,suku,suku,yes,single-word
ADJ_thick_OBJ_01_02_03_JS.xml,ADJ_thick_OBJ_01_02_03_JS.wav,1,0,1.53,kuku,ku˥ku˥,kuku,kuku,yes,single-word
ADJ_thick_OBJ_01_02_03_JS.xml,ADJ_thick_OBJ_01_02_03_JS.wav,2,1.53,2.71,kuku,ku˥ku˥,kuku,kuku,yes,single-word
ADJ_thick_OBJ_01_02_03_JS.xml,ADJ_thick_OBJ_01_02_03_JS.wav,3,2.71,3.82,kuku,ku˥ku˥,kuku,kuku,yes,single-word
ADJ_thin-narrow_OBJ_01_02_03_JS.xml,ADJ_thin-narrow_OBJ_01_02_03_JS.wav,1,0,1.21,kuiyi,kwĩ˥↘jĩ↗,kwĩjĩ,kwĩjĩ,yes,single-word
ADJ_thin-narrow_OBJ_01_02_03_JS.xml,ADJ_thin-narrow_OBJ_01_02_03_JS.wav,2,1.21,2.39,kuiyi,kwĩ˥↘jĩ↗,kwĩjĩ,kwĩjĩ,yes,single-word
ADJ_thin-narrow_OBJ_01_02_03_JS.xml,ADJ_thin-narrow_OBJ_01_02_03_JS.wav,3,2.39,3.74,kuiyi,kwĩ˥↘jĩ↗,kwĩjĩ,kwĩjĩ,yes,single-word
ADJ_wide_01_02_03_JS.xml,ADJ_wide_01_02_03_JS.wav,1,0,1.33,ntika,nd̪i˥ka↘,nd̪ika,nd̪ika,yes,single-word
ADJ_wide_01_02_03_JS.xml,ADJ_wide_01_02_03_JS.wav,2,1.33,2.69,ntika,nd̪i˥ka↘,nd̪ika,nd̪ika,yes,single-word
ADJ_wide_01_02_03_JS.xml,ADJ_wide_01_02_03_JS.wav,3,2.69,3.97,ntika,nd̪i˥ka↘,nd̪ika,nd̪ika,yes,single-word
ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,1,0,0.75,chi,tʃi˥,tʃi,t͡ʃi,yes,single-word
ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,2,0.75,1.62,chi,tʃi˥,tʃi,t͡ʃi,yes,single-word
ADPOS-CONFG_above-over-north_01_02_03_spkrTS.xml,ADPOS-CONFG_above-over-north_01_02_03_spkrTS.wav,3,1.62,2.38,chi,tʃi˥,tʃi,t͡ʃi,yes,single-word
ADPOS-CONFG_below-under-south_01_02_spkrTS.xml,ADPOS-CONFG_below-under-south_01_02_spkrTS.wav,1,0,0.97,chi,tʃi˥ni˥,tʃini,t͡ʃini,yes,single-word
ADPOS-CONFG_below-under-south_01_02_spkrTS.xml,ADPOS-CONFG_below-under-south_01_02_spkrTS.wav,2,0.97,1.94,chi,tʃi˥ni˥,tʃini,t͡ʃini,yes,single-word
ADV_NEG_not_01_02_spkrJS.xml,ADV_NEG_not_01_02_spkrJS.wav,1,0,0.71,kuee,kweː↗,kweː,kwee,yes,single-word
ADV_NEG_not_01_02_spkrJS.xml,ADV_NEG_not_01_02_spkrJS.wav,2,0.71,1.75,kuee,kweː↗,kweː,kwee,yes,single-word
ADV_TEMP_early_01_02_03_spkrTS.xml,ADV_TEMP_early_01_02_03_spkrTS.wav,1,0,1.16,na'a,na˥ʔa↘,naʔa,naʔa,yes,single-word
ADV_TEMP_early_01_02_03_spkrTS.xml,ADV_TEMP_early_01_02_03_spkrTS.wav,2,1.16,2.27,na'a,na˥ʔa↘,naʔa,naʔa,yes,single-word
ADV_TEMP_early_01_02_03_spkrTS.xml,ADV_TEMP_early_01_02_03_spkrTS.wav,3,2.27,3.23,na'a,na˥ʔa∙,naʔa,naʔa,yes,single-word
