LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	F0min	F0mid	F0max	F0StdDev	Sourcefile								LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	z-scores	F0min	F0mid	F0max	F0StdDev	Sourcefile
Low	-un-	108	-un-	101	87	-un-	83	84	-un-	83	87	87	93	1.77	DGTS_1-10_01_spkrTS								Low		108		101	87		83	84		83		87	87	93	1.77	DGTS_1-10_01_spkrTS
Low	111	-un-	91	86	83	83	81	-un-	81	-un-	82	83	94	4.25	DGTS_1-10_01_spkrTS								Low	111		91	86	83	83	81		81			82	83	94	4.25	DGTS_1-10_01_spkrTS
Low	110	-un-	91	-un-	84	81	-un-	93	-un-	83	84	84	87	0.94	DGTS_1-10_01_spkrTS								Low	110		91		84	81		93		83		84	84	87	0.94	DGTS_1-10_01_spkrTS
Low	108	109	-un-	85	81	-un-	83	83	-un-	-un-	80	81	84	1.62	DGTS_1-10_01_spkrTS								Low	108	109		85	81		83	83				80	81	84	1.62	DGTS_1-10_01_spkrTS
Low	101	85	-un-	82	75	82	-un-	-un-	-un-	-un-	75	75	88	2.94	DGTS_1-10_01_spkrTS								Low	101	85		82	75	82						75	75	88	2.94	DGTS_1-10_01_spkrTS
Low	98	95	115	-un-	-un-	-un-	-un-	84	-un-	-un-	84	-un-	85	0.68	DGTS_415-251-1554_01_spkrTS								Low	98	95	115					84				84	-un-	85	0.68	DGTS_415-251-1554_01_spkrTS
Low	-un-	99	110	90	81	-un-	-un-	-un-	-un-	-un-	79	81	82	1.78	S_Q_who_killed_who_01_spkrTS								Low		99	110	90	81							79	81	82	1.78	S_Q_who_killed_who_01_spkrTS
Low	107	-un-	85	-un-	82	87	-un-	81	76	-un-	79	82	83	1.56	S_it_will_rain_tomorrow_01_spkrTS								Low	107		85		82	87		81	76			79	82	83	1.56	S_it_will_rain_tomorrow_01_spkrTS
Low	-un-	104	85	86	79	93	-un-	-un-	72	-un-	78	79	80	0.49	S_it_will_rain_tomorrow_03_spkrTS								Low		104	85	86	79	93			72			78	79	80	0.49	S_it_will_rain_tomorrow_03_spkrTS
Mid	-un-	-un-	-un-	80	82	-un-	81	84	89	-un-	82	82	93	2.37	DGTS_1-10_01_spkrTS								Mid				80	82		81	84	89			82	82	93	2.37	DGTS_1-10_01_spkrTS
Mid	-un-	-un-	83	81	79	77	83	84	86	-un-	73	79	84	2.69	DGTS_1-10_01_spkrTS								Mid			83	81	79	77	83	84	86			73	79	84	2.69	DGTS_1-10_01_spkrTS
Mid	-un-	85	-un-	92	98	100	90	86	82	-un-	95	98	98	0.94	S_I_want_it_to_rain_tomorrow_02_spkrTS								Mid		85		92	98	100	90	86	82			95	98	98	0.94	S_I_want_it_to_rain_tomorrow_02_spkrTS
Mid	-un-	86	76	-un-	86	88	87	85	81	86	86	86	87	0.31	S_I_want_it_to_rain_tomorrow_03_spkrTS								Mid		86	76		86	88	87	85	81	86		86	86	87	0.31	S_I_want_it_to_rain_tomorrow_03_spkrTS
Mid	-un-	-un-	120	103	89	109	113	95	-un-	78	88	89	98	3.73	S_Q_who_killed_who_01_spkrTS								Mid			120	103	89	109	113	95		78		88	89	98	3.73	S_Q_who_killed_who_01_spkrTS
Mid	97	97	101	-un-	81	-un-	-un-	81	-un-	-un-	79	81	85	1.68	S_Q_will_it_rain_tomorrow_02_spkrTS								Mid	97	97	101		81			81				79	81	85	1.68	S_Q_will_it_rain_tomorrow_02_spkrTS
Mid	-un-	-un-	-un-	-un-	102	120	131	125	116	108	102	102	103	-un-	S_he_needs_a_new_heart_01_spkrTS								Mid					102	120	131	125	116	108		102	102	103	-un-	S_he_needs_a_new_heart_01_spkrTS
Mid	-un-	-un-	120	125	108	-un-	112	-un-	-un-	95	107	108	108	0.41	S_he_needs_a_new_heart_01_spkrTS								Mid			120	125	108		112			95		107	108	108	0.41	S_he_needs_a_new_heart_01_spkrTS
Mid	-un-	-un-	-un-	-un-	106	107	122	98	96	-un-	103	106	110	2.78	S_he_needs_a_new_heart_02_spkrTS								Mid					106	107	122	98	96			103	106	110	2.78	S_he_needs_a_new_heart_02_spkrTS
Mid	-un-	-un-	108	116	-un-	-un-	93	87	-un-	88	97	-un-	99	-un-	S_he_needs_a_new_heart_02_spkrTS								Mid			108	116			93	87		88		97	-un-	99	-un-	S_he_needs_a_new_heart_02_spkrTS
Mid	-un-	110	-un-	91	85	84	-un-	83	93	87	84	85	90	1.43	S_it_will_rain_tomorrow_01_spkrTS								Mid		110		91	85	84		83	93	87		84	85	90	1.43	S_it_will_rain_tomorrow_01_spkrTS
Mid	-un-	108	112	-un-	85	84	78	84	-un-	76	81	85	88	1.9	S_it_will_rain_tomorrow_02_spkrTS								Mid		108	112		85	84	78	84		76		81	85	88	1.9	S_it_will_rain_tomorrow_02_spkrTS
