Time_s	F0_Hz
0.351223	133.941721
0.362761	133.512447
0.374300	133.336797
0.385838	134.398250
0.397377	135.382395
0.408915	135.723391
0.420454	136.382179
0.431992	137.578478
0.443530	138.146707
0.455069	138.591254
0.466607	139.265665
0.478146	140.237795
0.489684	140.807451
0.501223	141.466473
0.512761	142.267904
0.524300	142.501974
0.535838	142.433061
0.547377	141.749410
0.558915	140.896023
0.570454	140.161390
0.581992	139.605972
0.593530	139.482289
0.605069	139.884087
0.616607	140.846639
0.628146	142.140727
0.639684	142.715986
0.651223	142.612742
0.662761	142.189890
0.674300	141.847509
