V_speak_01_spkrTS
Time_s   F0_Hz
0.314855   89.925457
0.328491   87.396522
0.342127   88.668020
0.355764   89.320789
0.369400   95.707523
0.383036   --undefined--
0.396673   --undefined--
0.410309   --undefined--
0.423946   --undefined--
0.437582   --undefined--
0.451218   --undefined--
0.464855   --undefined--
0.478491   --undefined--
0.492127   118.701457
0.505764   111.120614
0.519400   104.735835
0.533036   94.561057
0.546673   93.914027
0.560309   90.509900
0.573946   88.915618
0.587582   87.919383
0.601218   85.836533
0.614855   82.978863
0.628491   82.295258
0.642127   81.300253
0.655764   80.319901
0.669400   81.298676
0.683036   83.684624
0.696673   83.687989
0.710309   --undefined-
