

V_speak_02_spkrTS
Time_s   F0_Hz
0.928491   --undefined--
0.942127   --undefined--
0.955764   --undefined--
0.969400   83.315491
0.983036   83.096591
0.996673   85.749734
1.010309   --undefined--
1.023946   --undefined--
1.037582   --undefined--
1.051218   --undefined--
1.064855   --undefined--
1.078491   --undefined--
1.092127   --undefined--
1.105764   --undefined--
1.119400   --undefined--
1.133036   --undefined--
1.146673   --undefined--
1.160309   --undefined--
1.173946   83.001760
1.187582   82.305865
1.201218   81.318408
1.214855   81.137941
1.228491   79.703964
1.242127   79.061975
1.255764   79.061035
1.269400   79.538337
1.283036   79.199113
1.296673   79.371840
1.310309   79.679443
1.323946   82.311324
1.337582   --undefined--
