 LexicalTone	F0_pt1	F0_pt2	F0_pt3	F0_pt4	F0_pt5	F0_pt6	F0_pt7	F0_pt8	F0_pt9	F0_end	F0min	F0mid	F0max	F0StdDev	Vowel	Sourcefile
Rising-Falling	-un-	-un-	99	104	113	106	102	103	-un-	-un-	99	113	113	5.08	2	ADJ_new_01_spkrTS
Rising-Falling	-un-	-un-	93	-un-	110	106	101	103	-un-	-un-	93	110	110	6.57	2	ADJ_new_02_spkrTS
High	-un-	-un-	127	109	108	104	113	-un-	-un-	107	103	108	126	4.60	2	DGTS_1-10_01_spkrTS
Falling (or)  Low	-un-	111	106	-un-	96	88	-un-	-un-	82	86	86	96	109	8.14	4	DGTS_1-10_01_spkrTS
Low	-un-	108	-un-	101	87	-un-	83	84	-un-	83	87	87	93	1.77	6	DGTS_1-10_01_spkrTS
Low	111	-un-	91	86	83	83	81	-un-	81	-un-	82	83	94	4.25	8	DGTS_1-10_01_spkrTS
Low	110	-un-	91	-un-	84	81	-un-	93	-un-	83	84	84	87	0.94	10	DGTS_1-10_01_spkrTS
Low	108	109	-un-	85	81	-un-	83	83	-un-	-un-	80	81	84	1.62	12	DGTS_1-10_01_spkrTS
Rising	107	92	-un-	84	95	80	-un-	78	-un-	-un-	81	95	124	14.18	14	DGTS_1-10_01_spkrTS
T	106	88	82	82	81	-un-	-un-	83	-un-	84	80	81	89	3.23	16	DGTS_1-10_01_spkrTS
Falling	112	89	85	103	81	83	-un-	83	82	83	78	81	114	8.05	17	DGTS_1-10_01_spkrTS
Mid	-un-	-un-	-un-	80	82	-un-	81	84	89	-un-	82	82	93	2.37	18	DGTS_1-10_01_spkrTS
Mid	-un-	-un-	83	81	79	77	83	84	86	-un-	73	79	84	2.69	20	DGTS_1-10_01_spkrTS
Low	101	85	-un-	82	75	82	-un-	-un-	-un-	-un-	75	75	88	2.94	22	DGTS_1-10_01_spkrTS
Falling	87	80	126	79	83	-un-	85	-un-	-un-	-un-	80	83	84	1.06	24	DGTS_1-10_01_spkrTS
Falling	90	-un-	79	-un-	82	87	-un-	-un-	-un-	-un-	80	82	92	3.60	26	DGTS_1-10_01_spkrTS
T	88	82	-un-	-un-	81	79	-un-	-un-	-un-	-un-	81	81	86	1.74	28	DGTS_1-10_01_spkrTS
Falling	89	105	82	83	82	-un-	-un-	-un-	-un-	-un-	78	82	88	2.59	30	DGTS_1-10_01_spkrTS
Falling	-un-	-un-	-un-	82	84	-un-	-un-	-un-	-un-	-un-	78	84	90	4.74	32	DGTS_1-10_01_spkrTS
Falling	-un-	-un-	-un-	81	76	-un-	-un-	-un-	-un-	-un-	75	76	86	4.08	34	DGTS_1-10_01_spkrTS
High	-un-	-un-	145	128	125	126	129	-un-	-un-	-un-	124	125	136	2.16	2	DGTS_191919191919_01_spkrTS
Falling	-un-	125	-un-	-un-	95	-un-	114	110	-un-	92	89	95	103	4.42	4	DGTS_191919191919_01_spkrTS
High	129	-un-	103	-un-	110	-un-	88	-un-	96	-un-	109	110	132	3.90	6	DGTS_191919191919_01_spkrTS
Falling	125	138	-un-	107	87	95	-un-	77	88	93	81	87	104	5.85	8	DGTS_191919191919_01_spkrTS
High	125	92	109	88	95	81	90	93	-un-	-un-	94	95	100	1.52	10	DGTS_191919191919_01_spkrTS
Falling	-un-	-un-	-un-	95	83	90	-un-	-un-	81	-un-	76	83	95	4.39	12	DGTS_191919191919_01_spkrTS
High	-un-	110	89	-un-	88	-un-	-un-	-un-	-un-	-un-	86	88	95	1.94	14	DGTS_191919191919_01_spkrTS
Falling	132	110	95	-un-	78	-un-	-un-	-un-	-un-	-un-	74	78	94	5.78	16	DGTS_191919191919_01_spkrTS
High	96	104	-un-	87	85	95	-un-	-un-	-un-	-un-	85	85	92	1.62	18	DGTS_191919191919_01_spkrTS
Falling	92	84	76	74	79	-un-	-un-	-un-	-un-	-un-	78	79	91	2.48	20	DGTS_191919191919_01_spkrTS
Falling	-un-	-un-	-un-	95	89	92	98	107	121	-un-	88	89	90	1.05	2	DGTS_415-251-1554_01_spkrTS
(Rising)	-un-	-un-	95	90	94	107	-un-	-un-	100	94	91	94	105	4.71	3	DGTS_415-251-1554_01_spkrTS
Rising	-un-	-un-	90	99	119	-un-	99	95	-un-	-un-	106	119	121	5.74	4	DGTS_415-251-1554_01_spkrTS
High	-un-	91	113	65	95	-un-	-un-	82	85	-un-	94	95	97	0.88	6	DGTS_415-251-1554_01_spkrTS
T	97	105	-un-	-un-	-un-	80	-un-	93	85	88	-un-	-un-	-un-	-un-	7	DGTS_415-251-1554_01_spkrTS
Falling	93	95	-un-	85	85	88	84	-un-	78	-un-	82	85	88	2.56	8	DGTS_415-251-1554_01_spkrTS
Low	98	95	115	-un-	-un-	-un-	-un-	84	-un-	-un-	84	-un-	85	0.68	10	DGTS_415-251-1554_01_spkrTS
Falling	65	83	85	84	83	82	-un-	-un-	-un-	-un-	78	83	92	3.84	12	DGTS_415-251-1554_01_spkrTS
Falling	94	-un-	-un-	88	82	-un-	117	-un-	-un-	-un-	81	82	85	1.28	14	DGTS_415-251-1554_01_spkrTS
