tmin	tier	text	tmax
0.344699	Glides	j	0.536402
0.057574	Glides	j	0.269360
0.047443	Glides	j	0.277674
0.497454	Glides	j	0.635074
0.100990	Glides	j	0.422921
0.070120	Glides	j	0.277755
1.011670	Glides	j	1.183393
0.949987	Glides	j	1.093098
2.831602	Glides	j	3.031918
2.401136	Glides	j	2.614238
2.982288	Glides	j	3.198528
0.689498	Glides	j	0.799823
0.826649	Glides	j	0.976792
0.789063	Glides	j	0.966533
1.451813	Glides	j	1.537291
1.348086	Glides	j	1.483952
0.933099	Glides	j	1.037146
0.146185	Glides	j	0.271486
0.747005	Glides	j	1.026440
1.635450	Glides	j	1.863756
0.415133	Glides	j	0.614293
