Vowel	F1	F2
a	767	1391
a	784	1438
a	681	1460
a	687	1449
a	639	1565
a	727	1376
a	595	1491
a	568	1542
a	606	1404
a	564	1516
a	651	1392
a	548	1381
a	662	1471
a	559	1413
a	718	1437
a	476	1547
a	526	1558
a	516	1555
a	801	1310
a	797	1321
a	535	1494
a	754	1482
a	611	1596
a	632	1562
a	538	1471
a	526	1475
a	700	1421
a	612	1412
a	544	1469
a	521	1633
a	529	1589
a	520	1638
a	812	1408
a	576	1489
a	631	1512
a	650	1490
a	511	1379
a	554	1609
a	587	1625
a	483	1225
a	568	1579
a	559	1551
a	668	1490
a	619	1524
a	890	1521
a	684	1403
a	791	1347
a	717	1406
a	541	1292
a	510	1354
a	658	1538
a	670	1350
a	629	1307
a	538	1311
a	520	1262
a	566	1570
a	529	1369
a	536	1414
a	659	1383
a	565	1371
a	646	1466
a	629	1444
a	852	1375
a	583	1500
a	773	1423
a	650	1464
a	557	1571
a	670	1509
a	543	1438
a	592	1535
a	684	1387
a	677	1440
a	837	1329
a	848	1598
a	744	1304
a	607	1274
a	744	1294
a	701	1310
a	682	1430
a	698	1319
a	740	1459
a	722	1388
a	772	1309
a	699	1285
a	717	1314
a	834	1360
a	778	1367
a	666	1346
a	709	1331
a	764	1315
a	717	1256
a	631	1327
a	675	1382
a	703	1377
a	674	1242
a	683	1389
a	621	1264
a	832	1349
a	705	1307
a	676	1310
a	708	1351
a	711	1425
a	728	1296
