Vowel	F1	F2
i	210	1890
i	226	2235
i	239	2084
i	246	2540
i	247	2277
i	259	2456
i	265	1989
i	266	2274
i	273	2076
i	273	2179
i	274	2014
i	275	2210
i	277	2119
i	279	2148
i	280	2223
i	283	2191
i	284	2222
i	286	2124
i	286	2189
i	287	1760
i	288	2183
i	293	2110
i	293	2125
i	294	1941
i	294	2210
i	295	2161
i	295	2261
i	297	2183
i	297	2195
i	297	2269
i	298	2118
i	301	2182
i	301	2220
i	305	2102
i	305	2165
i	305	2355
i	307	1923
i	307	2147
i	309	1987
i	310	2067
i	311	2324
i	312	2106
i	312	2347
i	313	1902
i	315	2161
i	315	2219
i	316	1773
i	317	1722
i	319	2234
i	322	2066
i	327	2270
i	330	2334
i	336	2092
i	336	2377
i	337	2336
i	340	2084
i	340	2260
i	340	2552
i	341	2471
i	342	2256
i	343	1898
i	345	2117
i	345	2117
i	347	2206
i	350	2167
i	354	2085
i	360	1720
i	362	2272
i	369	2275
i	378	2077
i	393	2303
i	414	2186
i	421	2140
i	431	2559
i	435	2133
i	435	2133
i	440	2622
i	448	2599
i	452	2483
i	455	2074
i	462	2523
