rowLabel	F1	F2
a	767	1391
a	784	1438
a	681	1460
a	687	1449
a	639	1565
a	727	1376
a	595	1491
a	568	1542
a	606	1404
a	564	1516
a	651	1392
a	548	1381
a	662	1471
a	559	1413
a	718	1437
a	476	1547
a	526	1558
a	516	1555
a	588	983
a	801	1310
a	588	995
a	797	1321
a	535	1494
a	754	1482
a	611	1596
a	632	1562
a	538	1471
a	526	1475
a	700	1421
a	612	1412
a	544	1469
a	521	1633
a	529	1589
a	520	1638
a	812	1408
a	576	1489
a	631	1512
a	650	1490
a	511	1379
a	359	1394
a	554	1609
a	587	1625
a	483	1225
a	568	1579
a	559	1551
a	668	1490
a	619	1524
a	646	982
a	608	1055
a	705	1187
a	583	1011
a	890	1521
a	684	1403
a	791	1347
a	717	1406
a	541	1292
a	510	1354
a	472	1219
a	658	1538
a	670	1350
a	629	1307
a	538	1311
a	493	1197
a	520	1262
a	566	1570
a	529	1369
a	434	1362
a	536	1414
a	659	1383
a	565	1371
a	414	1343
a	646	1466
a	629	1444
a	852	1375
a	583	1500
a	773	1423
a	650	1464
a	557	1571
a	670	1509
a	543	1438
a	592	1535
a	684	1387
a	677	1440
a	837	1329
a	848	1598
a	744	1304
a	607	1274
a	744	1294
a	701	1310
a	682	1430
a	698	1319
a	740	1459
a	722	1388
a	772	1309
a	699	1285
a	497	1185
a	717	1314
a	834	1360
a	778	1367
a	666	1346
a	709	1331
a	764	1315
a	717	1256
a	631	1327
a	675	1382
a	703	1377
a	674	1242
a	683	1389
a	621	1264
a	560	1158
a	832	1349
a	705	1307
a	676	1310
a	708	1351
a	711	1425
a	728	1296
e	387	1527
e	293	1836
e	437	1498
e	416	1266
ɛ	450	1948
ɛ	422	1367
ɛ	501	1274
ɛ	457	1878
ɛ	430	1864
ɛ	437	1928
ɛ	290	1880
ɛ	443	1769
ɛ	395	1713
ɛ	451	1973
ɛ	367	1164
ɛ	301	1638
ɛ	252	1684
ɛ	306	1613
ɛ	317	1149
ɛ	423	1858
ɛ	335	1868
ɛ	289	1695
ɛ	438	1804
ɛ	455	1297
ɛ	389	1678
ɛ	499	1402
ɛ	448	1757
ɛ	347	1513
ɛ	471	1742
ɛ	361	1634
ɛ	447	1819
ɛ	344	1916
ɛ	454	1845
ɛ	446	1820
ɛ	358	1694
ɛ	291	2044
ɛ	281	2471
ɛ	571	2285
ɛ	338	2254
ɛ	397	2165
ɛ	493	1903
ɛ	321	2193
ɛ	379	2186
i	210	1535
i	316	1773
i	280	2223
i	336	2092
i	350	2167
i	771	1911
i	322	2066
i	298	2118
i	336	2377
i	294	1941
i	275	2210
i	284	2222
i	239	2084
i	307	1923
i	273	2179
i	317	1722
i	274	2014
i	266	2274
i	319	2234
i	301	2182
i	293	2110
i	313	1902
i	307	2147
i	312	2106
i	310	2067
i	286	2189
i	265	1989
i	312	2347
i	277	2119
i	279	2148
i	378	2077
i	343	1898
i	326	1528
i	287	1760
i	340	2084
i	330	2334
i	294	2210
i	273	2076
i	247	2277
i	226	2235
i	340	2260
i	295	2161
i	283	2191
i	431	2559
i	286	2124
i	448	2599
i	257	1196
i	210	1890
i	362	2272
i	414	2186
i	305	2102
i	342	2256
i	307	1216
i	259	1455
i	311	2324
i	288	2183
i	341	2471
i	340	2552
i	360	1720
i	354	2085
i	327	2270
i	315	2219
i	369	2275
i	345	2117
i	435	2133
i	345	2117
i	435	2133
i	315	2161
i	246	2540
i	305	2165
i	293	2125
i	259	2456
i	452	2483
i	297	2269
i	455	2074
i	337	2336
i	554	1650
i	360	1661
i	347	2206
i	301	2220
i	269	1452
i	285	1534
i	348	1068
i	297	2183
i	305	2355
i	393	2303
i	309	1987
i	323	1602
i	258	1530
i	724	2454
i	538	2351
i	327	1491
i	262	1570
i	268	1507
i	462	2523
i	423	1542
i	337	1658
i	421	2140
i	395	998
i	440	2622
i	271	1535
i	488	1690
i	343	1642
i	496	1645
i	295	2261
i	297	2195
o	507	966
o	448	841
o	454	847
o	392	882
o	601	932
o	545	837
o	725	1499
o	324	872
o	349	893
o	407	924
o	388	1000
o	462	1293
o	630	1133
o	520	1084
o	811	1982
o	485	908
o	488	1151
o	461	713
o	488	1222
o	457	846
o	450	658
o	557	895
o	476	1611
u	287	1040
u	310	790
u	300	1011
u	282	935
u	316	1533
u	284	931
u	341	921
u	267	902
u	280	813
u	287	870
u	326	968
u	352	842
u	365	917
u	361	746
u	314	1017
u	348	1179
u	376	1146
u	539	938
u	383	1854
u	341	1485
u	457	1401
u	436	895
u	373	866
u	355	872
u	335	970
u	386	940
u	354	1308
u	348	1116
u	339	1306
u	256	971
u	233	1206
u	307	1248
u	304	1098
u	408	1300
