Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
ˈaːː 	345	728	1223	--undefined--	2523	1296	2271	--undefined--	2562	2184	3186	--undefined--	ADJ_blue_01.wav
ˈaːː 	287	733	911	--undefined--	2504	1253	1400	--undefined--	3162	2263	2489	--undefined--	ADJ_blue_02.wav
ˈɛ̃ːː	2015	515	199	461	2700	1827	1825	1740	3092	2777	2554	2868	ADJ_dangerous_01.wav
ˈɛ̃ːː 	1687	412	160	512	2682	1765	1766	1703	2723	2499	2492	2644	ADJ_dangerous_02.wav
ˈiːː 	378	305	350	294	925	2355	2462	2079	2396	2924	2827	2762	ADJ_green_01.wav
ˈaːː  	567	683	623	388	1778	1389	1261	1267	2710	2291	2194	2190	ADJ_new_01.wav
ˈaːː	640	621	639	260	1462	1264	1208	1251	2425	2096	2111	2272	ADJ_new_02.wav
ˈaːː	601	560	745	166	1412	1158	1254	1293	2309	2153	2305	2239	ADJ_new_P_01.wav
ˈaːː	567	832	660	547	1427	1349	1371	1284	2359	2253	2255	2133	ADJ_new_P_02.wav
ˈiːː	311	393	514	242	1568	2303	2184	2317	2613	3296	2932	3063	ADJ_sacred_01.wav
ˈiːː 	333	309	334	408	1844	1987	1018	2187	2568	2326	2242	2389	ADJ_sacred_02.wav
ˈiːː	316	323	338	387	1107	1602	1036	1940	2359	2346	2412	2308	ADJ_sacred_03.wav
iːː 	297	258	318	311	1620	1530	1672	1587	2495	2392	2526	2355	ADJ_sacred_S_02.wav
u	1302	287	404	787	2117	1040	1794	1138	3600	2505	2823	2540	ADJ_tall_1st_pl_01.wav
u	306	310	378	374	1532	790	1270	1631	2690	2607	2447	2310	ADJ_tall_1st_pl_01.wav
e	260	387	359	--undefined--	1517	1527	887	--undefined--	2559	2353	2382	--undefined--	ADJ_tall_1st_pl_01.wav
o	771	507	--undefined--	--undefined--	1137	966	--undefined--	--undefined--	2524	2336	--undefined--	--undefined--	ADJ_tall_1st_pl_01.wav
u	1455	300	322	324	2141	1011	1354	1996	3321	2489	2298	3018	ADJ_tall_1st_sg_01.wav
u	303	282	267	312	1045	935	1962	1281	2503	2446	2327	2417	ADJ_tall_1st_sg_01.wav
u	295	316	--undefined--	--undefined--	1542	1533	--undefined--	--undefined--	2263	2348	--undefined--	--undefined--	ADJ_tall_1st_sg_01.wav
u	510	284	689	320	1894	931	1183	856	3421	2570	2711	2659	ADJ_tall_2nd_sg_form_01.wav
u	591	341	262	245	1800	921	2227	2143	2677	2577	2822	2698	ADJ_tall_2nd_sg_form_01.wav
i	274	291	--undefined--	--undefined--	1024	2044	--undefined--	--undefined--	2531	2622	--undefined--	--undefined--	ADJ_tall_2nd_sg_form_01.wav
u	902	267	675	471	2122	902	699	872	2683	2437	2358	2490	ADJ_tall_2nd_sg_inf_01.wav
u	325	280	328	281	1065	813	788	868	2608	2562	2560	2548	ADJ_tall_2nd_sg_inf_01.wav
ˈu	320	287	--undefined--	--undefined--	1789	870	--undefined--	--undefined--	2957	2608	--undefined--	--undefined--	ADJ_tall_2nd_sg_inf_01.wav
ˈĩːː 	303	387	427	270	1354	2357	2375	2367	2442	2790	3082	2988	ADJ_thin_P_01.wav
ˈaːː 	311	705	734	1080	2105	1307	1416	1924	2805	2200	2285	3009	ADJ_white_01.wav
ˈaːː 	268	676	821	791	2020	1310	1468	1386	2696	2202	2253	2312	ADJ_white_02.wav
aː	301	744	663	359	751	1304	1648	1833	2441	1734	2675	2652	ADV_again_01.wav
u	432	326	339	618	1736	968	851	1945	2644	2427	2480	2562	ADV_again_01.wav
u	669	352	--undefined--	--undefined--	1320	842	--undefined--	--undefined--	2293	2559	--undefined--	--undefined--	ADV_again_01.wav
aː	291	607	439	354	1062	1274	1614	888	2412	2210	2326	2416	ADV_again_02.wav
u	352	365	617	508	2126	917	2288	1660	3242	2471	3310	2616	ADV_again_02.wav
u	585	361	--undefined--	--undefined--	1198	746	--undefined--	--undefined--	2235	2661	--undefined--	--undefined--	ADV_again_02.wav
a ᵃ^̰	855	732	708	750	1425	1231	1312	1333	2113	1951	2229	1820	ADV_no_01.wav
ᵃ^̰ ˈaː	807	589	936	--undefined--	1282	1002	1577	--undefined--	2047	1713	2565	--undefined--	ADV_no_01.wav
a ᵃ^̰ 	900	763	710	596	1326	1257	1220	1272	2527	1984	1949	2373	ADV_no_02.wav
ᵃ^̰ ˈaː 	709	733	850	--undefined--	1251	1216	1276	--undefined--	1762	1621	2127	--undefined--	ADV_no_02.wav
ˈã̰ːː 	798	694	537	517	1244	1242	997	988	2762	2637	1791	1944	ADV_yes_01.wav
ˈã̰ːː 	779	814	753	874	1291	1224	1174	1426	2806	2270	2091	2046	ADV_yes_02.wav
\s{^ʔ}ũ	434	415	436	360	2190	831	2084	1321	2911	2277	3201	3018	NUM_five_01.wav
(\s{^ʔ})ũ	379	411	434	493	2211	1264	727	2173	3088	2213	2224	3221	NUM_five_02.wav
ˈiːː 	383	724	435	263	2351	2454	2319	2335	3010	2964	2793	2818	NUM_nine_01.wav
ˈ iːː	390	538	433	369	1840	2351	1775	2330	2735	2934	2839	2821	NUM_nine_02.wav
ˈiːː	425	327	455	351	2018	1491	1564	1499	3221	2812	2756	2687	NUM_nine_04.wav
ˈiːː	333	262	462	405	1815	1570	1844	1588	2707	2446	2861	2759	NUM_nine_05.wav
ˈiːː	414	268	265	215	1382	1507	1695	1650	2540	2514	2633	2671	NUM_nine_06_S_01.wav
ˈiːː	410	462	285	320	2437	2523	1990	1686	2925	2641	2658	2638	NUM_nine_07_S_02.wav
ˈiːː	410	423	284	259	2230	1542	1628	1713	3024	2797	2752	2971	NUM_nine_08_S_03.wav
ˈiːː 	475	337	233	1136	2430	1658	1518	2377	3279	2639	2595	3268	NUM_nine_09_S_04.wav
ˈiːː 	412	421	258	368	2402	2140	2038	1571	2959	2656	2600	2712	NUM_nine_10_S_05.wav
ĩːː	456	349	549	336	1346	1135	1755	1248	2429	2038	3143	2629	NUM_one_01.wav
ĩːː	342	614	320	323	1144	1512	1199	2274	2636	2925	2441	2872	NUM_one_02.wav
ˈ ĩːː	389	353	303	288	1703	1066	1413	1472	2722	2477	2568	2654	NUM_one_05.wav
ĩːː	345	322	301	296	1756	1534	1691	1624	2634	2783	2646	2664	NUM_one_06.wav
u	590	314	290	412	2229	1017	940	1061	2898	1915	2174	2431	NUM_two_02.wav
i	293	281	--undefined--	--undefined--	891	2471	--undefined--	--undefined--	2206	2939	--undefined--	--undefined--	NUM_two_02.wav
u	491	348	360	377	1769	1179	975	731	2987	1969	2312	2064	NUM_two_03.wav
i	337	571	256	--undefined--	1166	2285	1895	--undefined--	2166	3151	2281	--undefined--	NUM_two_03.wav
u	729	376	371	357	1841	1146	1310	1126	2803	2231	2358	1590	NUM_two_04.wav
i	365	338	--undefined--	--undefined--	1131	2254	--undefined--	--undefined--	2035	2756	--undefined--	--undefined--	NUM_two_04.wav
