Vowel	F1_pt2	F1_mid	F1_pt8	F2_pt2	F2_mid	F2_pt8	F3_pt2	F3_mid	F3_pt8
aːː	345	728	0	2523	1296	0	2562	2184	0
aːː	287	733	0	2504	1253	0	3162	2263	0
ɛ̃ːː	2015	515	461	2700	1827	1740	3092	2777	2868
ɛ̃ːː	1687	412	512	2682	1765	1703	2723	2499	2644
iːː	378	305	294	925	2355	2079	2396	2924	2762
aːː	567	683	388	1778	1389	1267	2710	2291	2190
aːː	640	621	260	1462	1264	1251	2425	2096	2272
aːː	601	560	166	1412	1158	1293	2309	2153	2239
aːː	567	832	547	1427	1349	1284	2359	2253	2133
iːː	311	393	242	1568	2303	2317	2613	3296	3063
iːː	333	309	408	1844	1987	2187	2568	2326	2389
iːː	316	323	387	1107	1602	1940	2359	2346	2308
iːː	297	258	311	1620	1530	1587	2495	2392	2355
u	1302	287	787	2117	1040	1138	3600	2505	2540
u	306	310	374	1532	790	1631	2690	2607	2310
e	260	387	0	1517	1527	0	2559	2353	0
o	771	507	0	1137	966	0	2524	2336	0
u	1455	300	324	2141	1011	1996	3321	2489	3018
u	303	282	312	1045	935	1281	2503	2446	2417
u	295	316	0	1542	1533	0	2263	2348	0
u	510	284	320	1894	931	856	3421	2570	2659
u	591	341	245	1800	921	2143	2677	2577	2698
i	274	291	0	1024	2044	0	2531	2622	0
u	902	267	471	2122	902	872	2683	2437	2490
u	325	280	281	1065	813	868	2608	2562	2548
u	320	287	0	1789	870	0	2957	2608	0
ĩːː	303	387	270	1354	2357	2367	2442	2790	2988
aːː	311	705	1080	2105	1307	1924	2805	2200	3009
aːː	268	676	791	2020	1310	1386	2696	2202	2312
aː	301	744	359	751	1304	1833	2441	1734	2652
u	432	326	618	1736	968	1945	2644	2427	2562
u	669	352	0	1320	842	0	2293	2559	0
aː	291	607	354	1062	1274	888	2412	2210	2416
u	352	365	508	2126	917	1660	3242	2471	2616
u	585	361	0	1198	746	0	2235	2661	0
aᵃ̰	855	732	750	1425	1231	1333	2113	1951	1820
ᵃ̰aː	807	589	0	1282	1002	0	2047	1713	0
aᵃ̰	900	763	596	1326	1257	1272	2527	1984	2373
ᵃ̰aː	709	733	0	1251	1216	0	1762	1621	0
ã̰ːː	798	694	517	1244	1242	988	2762	2637	1944
ã̰ːː	779	814	874	1291	1224	1426	2806	2270	2046
ˀũ	434	415	360	2190	831	1321	2911	2277	3018
ˀũ	379	411	493	2211	1264	2173	3088	2213	3221
iːː	383	724	263	2351	2454	2335	3010	2964	2818
iːː	390	538	369	1840	2351	2330	2735	2934	2821
iːː	425	327	351	2018	1491	1499	3221	2812	2687
iːː	333	262	405	1815	1570	1588	2707	2446	2759
iːː	414	268	215	1382	1507	1650	2540	2514	2671
iːː	410	462	320	2437	2523	1686	2925	2641	2638
iːː	410	423	259	2230	1542	1713	3024	2797	2971
iːː	475	337	1136	2430	1658	2377	3279	2639	3268
iːː	412	421	368	2402	2140	1571	2959	2656	2712
ĩːː	456	349	336	1346	1135	1248	2429	2038	2629
ĩːː	342	614	323	1144	1512	2274	2636	2925	2872
ĩːː	389	353	288	1703	1066	1472	2722	2477	2654
ĩːː	345	322	296	1756	1534	1624	2634	2783	2664
u	590	314	412	2229	1017	1061	2898	1915	2431
i	293	281	0	891	2471	0	2206	2939	0
u	491	348	377	1769	1179	731	2987	1969	2064
i	337	571	0	1166	2285	0	2166	3151	0
u	729	376	357	1841	1146	1126	2803	2231	1590
i	365	338	0	1131	2254	0	2035	2756	0
aː	1897	744	0	2533	1294	0	3194	2141	0
aː	1062	701	0	2354	1310	0	3436	2195	0
iːː	384	395	282	1955	998	1702	2411	2344	2289
iːː	609	440	219	2112	2622	2182	2863	3287	2326
aᵃ̰	369	729	459	1377	1426	1392	2908	2431	2431
a	707	767	0	1454	1391	0	2434	2366	0
aᵃ̰	438	748	714	1510	1504	1416	3166	2402	2367
a	744	784	0	1485	1438	0	2395	2408	0
i	586	397	1651	1758	2165	2619	2935	2722	3040
i	890	493	0	1771	1903	0	2663	3285	0
i	1785	321	516	2781	2193	2365	3685	3395	3081
i	336	379	0	1453	2186	0	2533	2841	0
i	1022	210	1530	1657	1535	1894	2663	2434	2941
i	352	316	0	1585	1773	0	2366	2644	0
a	296	681	346	1483	1460	2159	3108	2318	2572	
i	617	280	0	1625	2223	0	2416	2783	0
a	934	687	337	1885	1449	1463	3667	2242	2284
i	567	336	0	1707	2092	0	2511	2747	0
a	315	639	498	1872	1565	1313	3257	2341	2293
i	663	350	0	1553	2167	0	2274	2856	0
i	302	771	409	1788	1911	1436	2852	3085	2267
u	184	539	0	614	938	0	2295	1946	0
u	1440	383	317	2280	1854	1543	3521	2812	2572
uː	328	307	0	1522	1248	0	2640	2084	0
u	1499	341	280	2530	1485	1480	3537	2763	2235
uː	338	304	0	1504	1098	0	2798	2255	0
u	1724	457	456	2640	1401	1458	3600	1992	2229
uː	436	408	247	1518	1300	1714	3103	2071	2498
iⁱ̰	231	320	689	1733	2239	1130	2806	2801	2523
o	269	448	0	2131	841	0	2717	2520	0
iⁱ̰	238	261	376	1314	2094	1964	2214	2579	2300
o	411	454	0	2183	847	0	2445	2372	0
ĩːː	389	434	386	1238	2311	2231	2072	2596	2485
ĩːː	380	437	286	1604	2195	2110	2421	2528	2407
ũ	412	365	430	1320	1121	1299	2256	2026	2657
ɔ̃	340	588	0	1208	1650	0	2263	2779	0
ⁱ̰ĩ	745	327	558	910	1391	1536	2524	2233	2604
ĩⁱ̰	331	311	0	1346	2408	0	2252	2817	0
aː	937	682	423	1446	1430	1322	2120	2538	2302
a	726	727	0	1492	1376	0	2539	2651	0
