Vowel	F1_pt3	F1_mid	F1_pt7	F2_pt3	F2_mid	F2_pt7	F3_pt3	F3_mid	F3_pt7
aːː 	1362	728	1223	3018	1296	2271	3018	2184	3186
aːː 	472	733	911	2585	1253	1400	2585	2263	2489
ɛ̃ːː	468	515	199	2661	1827	1825	2661	2777	2554
ɛ̃ːː 	424	412	160	2659	1765	1766	2659	2499	2492
iːː 	331	305	350	2340	2355	2462	2340	2924	2827
aːː  	639	683	623	2225	1389	1261	2225	2291	2194
aːː	710	621	639	2214	1264	1208	2214	2096	2111
aːː	651	560	745	2223	1158	1254	2223	2153	2305
aːː	702	832	660	2226	1349	1371	2226	2253	2255
iːː	302	393	514	2619	2303	2184	2619	3296	2932
iːː 	348	309	334	2915	1987	1018	2915	2326	2242
iːː	245	323	338	2491	1602	1036	2491	2346	2412
iːː 	282	258	318	2380	1530	1672	2380	2392	2526
u	1652	287	404	3514	1040	1794	3514	2505	2823
u	267	310	378	2899	790	1270	2899	2607	2447
e	753	387	359	2854	1527	887	2854	2353	2382
o	365	507	--undefined--	2733	966	--undefined--	2733	2336	--undefined--
u	1491	300	322	3463	1011	1354	3463	2489	2298
u	293	282	267	2111	935	1962	2111	2446	2327
u	322	316	--undefined--	2719	1533	--undefined--	2719	2348	--undefined--
u	1571	284	689	3499	931	1183	3499	2570	2711
u	275	341	262	2537	921	2227	2537	2577	2822
i	311	291	--undefined--	2642	2044	--undefined--	2642	2622	--undefined--
u	424	267	675	2640	902	699	2640	2437	2358
u	294	280	328	3075	813	788	3075	2562	2560
u	272	287	--undefined--	2611	870	--undefined--	2611	2608	--undefined--
ĩːː 	327	387	427	2472	2357	2375	2472	2790	3082
aːː 	501	705	734	2575	1307	1416	2575	2200	2285
aːː 	470	676	821	2562	1310	1468	2562	2202	2253
aː	431	744	663	2603	1304	1648	2603	1734	2675
u	599	326	339	2023	968	851	2023	2427	2480
u	543	352	--undefined--	2586	842	--undefined--	2586	2559	--undefined--
aː	374	607	439	3737	1274	1614	3737	2210	2326
u	594	365	617	2134	917	2288	2134	2471	3310
u	487	361	--undefined--	2665	746	--undefined--	2665	2661	--undefined--
a ᵃ^̰	712	732	708	1810	1231	1312	1810	1951	2229
ᵃ^̰ aː	824	589	936	2493	1002	1577	2493	1713	2565
a ᵃ^̰ 	771	763	710	1963	1257	1220	1963	1984	1949
ᵃ^̰ aː 	606	733	850	2247	1216	1276	2247	1621	2127
ã̰ːː 	800	694	537	2602	1242	997	2602	2637	1791
ã̰ːː 	839	814	753	2771	1224	1174	2771	2270	2091
\s{^ʔ}ũ	490	415	436	3134	831	2084	3134	2277	3201
(\s{^ʔ})ũ	455	411	434	3093	1264	727	3093	2213	2224
iːː 	578	724	435	3033	2454	2319	3033	2964	2793
 iːː	387	538	433	2455	2351	1775	2455	2934	2839
iːː	396	327	455	2563	1491	1564	2563	2812	2756
iːː	368	262	462	2619	1570	1844	2619	2446	2861
iːː	498	268	265	3120	1507	1695	3120	2514	2633
iːː	444	462	285	2611	2523	1990	2611	2641	2658
iːː	286	423	284	2458	1542	1628	2458	2797	2752
iːː 	517	337	233	2929	1658	1518	2929	2639	2595
iːː 	428	421	258	2677	2140	2038	2677	2656	2600
ĩːː	351	349	549	2159	1135	1755	2159	2038	3143
ĩːː	344	614	320	2330	1512	1199	2330	2925	2441
 ĩːː	502	353	303	3500	1066	1413	3500	2477	2568
ĩːː	353	322	301	2866	1534	1691	2866	2783	2646
u	399	314	290	2293	1017	940	2293	1915	2174
i	279	281	--undefined--	3090	2471	--undefined--	3090	2939	--undefined--
u	405	348	360	1529	1179	975	1529	1969	2312
i	283	571	256	2238	2285	1895	2238	3151	2281
u	318	376	371	2255	1146	1310	2255	2231	2358
i	372	338	--undefined--	1646	2254	--undefined--	1646	2756	--undefined--
aː 	553	744	309	2427	1294	1201	2427	2141	2250
aː	495	701	1091	2471	1310	1429	2471	2195	2292
iːː 	661	395	208	3154	998	1892	3154	2344	2750
iːː 	504	440	287	2742	2622	924	2742	3287	2447
a ᵃ^̰ 	374	729	762	2709	1426	1423	2709	2431	2435
a	764	767	538	2433	1391	1415	2433	2366	2838
a ᵃ^̰ 	397	748	786	2415	1504	1376	2415	2402	2201
a	654	784	--undefined--	2328	1438	--undefined--	2328	2408	--undefined--
i	599	397	370	2946	2165	1908	2946	2722	3311
i 	362	493	--undefined--	3146	1903	--undefined--	3146	3285	--undefined--
i	446	321	355	2957	2193	1692	2957	3395	2707
i	227	379	--undefined--	2879	2186	--undefined--	2879	2841	--undefined--
i	999	210	1014	4936	1535	1874	4936	2434	2959
i	225	316	--undefined--	2884	1773	--undefined--	2884	2644	--undefined--
a	347	681	694	2855	1460	1547	2855	2318	2358
i	627	280	--undefined--	2206	2223	--undefined--	2206	2783	--undefined--
a	586	687	418	3003	1449	1334	3003	2242	2301
i	608	336	524	2351	2092	1621	2351	2747	3081
a	367	639	638	3014	1565	1397	3014	2341	2262
i	515	350	--undefined--	2329	2167	--undefined--	2329	2856	--undefined--
i	422	771	430	2224	1911	949	2224	3085	2557
u	508	539	--undefined--	2766	938	--undefined--	2766	1946	--undefined--
u	1503	383	319	3332	1854	2088	3332	2812	2811
uː	312	307	740	2802	1248	1823	2802	2084	3092
u	1001	341	285	3130	1485	1385	3130	2763	2580
uː	272	304	--undefined--	2563	1098	--undefined--	2563	2255	--undefined--
u	1560	457	345	3247	1401	1005	3247	1992	2340
uː	337	408	320	2282	1300	957	2282	2071	2486
i ⁱ^̰	268	320	377	2610	2239	1833	2610	2801	2499
o	395	448	--undefined--	2423	841	--undefined--	2423	2520	--undefined--
i ⁱ^̰	1367	261	778	3118	2094	2174	3118	2579	2717
o	407	454	--undefined--	2373	847	--undefined--	2373	2372	--undefined--
ĩːː	337	434	380	2350	2311	2109	2350	2596	2463
ĩːː	364	437	241	2349	2195	2235	2349	2528	2794
ũ 	303	365	327	2012	1121	1797	2012	2026	2044
 ɔ̃	337	588	--undefined--	2376	1650	--undefined--	2376	2779	--undefined--
i ^ĩ^̰  	924	327	305	3130	1391	2190	3130	2233	2803
^ĩ^̰ i	726	311	--undefined--	2965	2408	--undefined--	2965	2817	--undefined--
aː 	828	682	577	2777	1430	1397	2777	2538	2332
a	357	727	--undefined--	2380	1376	--undefined--	2380	2651	--undefined--
aː 	830	698	551	2647	1319	1487	2647	2483	2514
a	309	595	--undefined--	1942	1491	--undefined--	1942	2270	--undefined--
ĩːː 	346	350	567	2375	2281	1398	2375	3108	2928
 ĩːː	459	513	426	2514	2378	1312	2514	3289	2445
 ĩːː	337	380	341	2475	1639	1208	2475	2644	2344
 ĩːː	310	284	281	2252	1695	1651	2252	2400	2680
ɛ 	430	450	577	2140	1948	1656	2140	2630	2484
 ĩːː	638	277	1398	2343	1586	2466	2343	2603	3256
 ĩːː	285	305	301	2567	1518	1595	2567	2764	2814
 ĩːː	309	267	249	2699	1692	2061	2699	2777	2470
ũ	888	393	214	3101	2429	2164	3101	2870	2224
i	1666	322	92	2755	2066	858	2755	2347	2339
 u	389	436	--undefined--	2818	895	--undefined--	2818	2369	--undefined--
ũ 	2240	364	299	3251	1088	1981	3251	2502	2491
i	367	298	430	2408	2118	903	2408	2410	2580
o	310	392	--undefined--	2326	882	--undefined--	2326	2385	--undefined--
ãː 	661	1142	625	2541	1461	1143	2541	2650	2144
ãː 	568	407	1243	2051	1142	2072	2051	2033	3112
ɛ ^ɛ^̰  	1307	466	473	3226	1746	1847	3226	2806	2643
^ɛ^̰ ɛ	454	513	--undefined--	2793	1822	--undefined--	2793	2736	--undefined--
ĩːː	442	300	421	2660	1228	1182	2660	2705	2652
 ĩːː 	312	395	369	2599	1474	1425	2599	2757	2499
 ĩːː 	378	350	443	2766	1200	1858	2766	2681	2674
 ĩːː 	414	346	474	2991	1675	1747	2991	2776	2717
 ĩːː 	304	346	325	2611	1516	1439	2611	2621	2544
a ᵃ^̰ 	611	567	650	2797	925	1030	2797	2271	2167
ᵃ^̰ a 	542	614	--undefined--	2186	1277	--undefined--	2186	2167	--undefined--
 ĩːː	411	380	434	2495	2466	1429	2495	3288	2570
 ĩːː 	329	417	352	2645	1265	1484	2645	2853	2895
 ĩːː	345	413	339	2529	1762	1558	2529	2937	2748
i	327	336	632	2619	2377	2145	2619	2856	2737
a	384	568	856	3081	1542	2079	3081	2303	2889
iː	296	347	--undefined--	2602	2206	--undefined--	2602	2849	--undefined--
aːː 	524	708	813	2647	1351	1496	2647	2164	2291
 aːː 	626	711	748	2555	1425	1463	2555	2350	2287
i	988	294	259	3349	1941	2080	3349	2212	2196
i	288	275	--undefined--	2248	2210	--undefined--	2248	3283	--undefined--
ṵ̃ː	511	375	339	3177	2147	1957	3177	2829	2601
oː	398	557	--undefined--	2236	895	--undefined--	2236	2805	--undefined--
i ⁱ^̰ 	330	298	344	2741	2232	2007	2741	2988	2888
ⁱ^̰i	314	300	483	2846	2182	1356	2846	2474	2537
o	304	601	--undefined--	2496	932	--undefined--	2496	3078	--undefined--
i ⁱ^̰ 	356	328	317	2917	2013	1546	2917	2344	2324
ⁱ^̰ iː	325	341	--undefined--	2355	2267	--undefined--	2355	3075	--undefined--
i ⁱ^̰ 	525	278	263	2154	2200	2248	2154	2411	2377
ⁱ^̰ iː	286	303	--undefined--	2697	2250	--undefined--	2697	2883	--undefined--
a	1303	606	317	3082	1404	1374	3082	2487	2671
u	515	373	372	2470	866	1026	2470	2708	2477
u	362	355	508	2702	872	828	2702	2596	2850
o	324	545	--undefined--	2613	837	--undefined--	2613	2961	--undefined--
i	828	284	253	2781	2222	1504	2781	2309	2285
i	277	239	471	2896	2084	912	2896	2425	2512
o	261	725	--undefined--	2564	1499	--undefined--	2564	2853	--undefined--
#	250	1001	--undefined--	2284	2999	--undefined--	2284	4937	--undefined--
