Vowel	F1_m	F2_m	F3_m
ˈaːː 	717	1396	2324
ˈaːː 	736	1348	2357
ˈɛ̃ːː	427	1811	2537
ˈɛ̃ːː 	415	1752	2517
ˈiːː 	315	2095	2705
ˈaːː  	624	1317	2227
ˈaːː	625	1292	2213
ˈaːː	659	1317	2339
ˈaːː	678	1323	2246
ˈiːː	330	2122	2823
ˈiːː 	336	1792	2453
ˈiːː	328	1593	2421
iːː 	294	1682	2421
u	312	1291	2584
u	310	766	2617
e	382	1451	2390
o	462	1167	2550
u	316	1089	2588
u	289	1101	2516
u	300	1573	2363
u	300	1197	2586
u	314	959	2571
i	273	2003	2639
u	319	1253	2676
u	290	807	2568
ˈu	297	1063	2604
ˈĩːː 	341	2146	2744
ˈaːː 	696	1450	2293
ˈaːː 	668	1447	2311
aː	578	1324	2271
u	364	998	2460
u	344	862	2567
aː	555	1320	2268
u	372	974	2453
u	394	1088	2731
a ᵃ^̰	748	1247	1977
ᵃ^̰ ˈaː	710	1176	1873
a ᵃ^̰ 	773	1257	1806
ᵃ^̰ ˈaː 	691	1257	1884
ˈã̰ːː 	789	1287	2505
ˈã̰ːː 	798	1266	2353
\s{^ʔ}ũ	432	1755	2787
(\s{^ʔ})ũ	433	1456	2625
ˈiːː 	472	2169	2877
ˈ iːː	406	1838	2786
ˈiːː	368	1550	2698
ˈiːː	380	1636	2699
ˈiːː	438	1755	2808
ˈiːː	396	1961	2709
ˈiːː	405	1752	2890
ˈiːː 	497	1842	2786
ˈiːː 	392	1941	2704
ĩːː	396	1409	2457
ĩːː	357	1376	2483
ˈ ĩːː	375	1664	2664
ĩːː	329	1769	2670
u	375	1178	2244
i	313	2124	2798
u	352	1129	2042
i	359	1834	2711
u	339	1096	2138
i	390	2198	2834
aː 	647	1278	2232
ˈaː	685	1380	2303
iːː 	393	1920	2745
iːː 	402	1710	2750
a ᵃ^̰ 	620	1425	2464
ˈa	652	1371	2422
a ᵃ^̰ 	631	1422	2385
ˈa	671	1392	2455
i	358	2196	2792
ˈi 	311	2221	2871
i	311	1994	2818
i	341	2153	2933
i	602	1891	2792
i	386	1735	2723
a	620	1524	2361
ˈi	271	1995	2771
a	591	1533	2403
ˈi	304	2119	2696
a	595	1633	2445
ˈi	341	2151	2783
i	499	1596	2705
ˈu	444	1439	2455
u	353	1591	2723
ˈuː	366	1229	2369
u	318	1479	2677
uː	312	1131	2353
u	433	1334	2305
uː	410	1336	2335
i ⁱ^̰	595	2277	2777
o	429	853	2520
i ⁱ^̰	300	2098	2552
o	445	1057	2619
ĩːː	375	1632	2486
ĩːː	347	1641	2508
ũ 	374	1181	2138
ˈ ɔ̃	461	1431	2591
i ^ĩ^̰  	364	1603	2338
^ĩ^̰ ˈi	329	2245	2869
aː 	713	1432	2477
a	634	1416	2292
aː 	698	1418	2446
a	688	1527	2447
ˈĩːː 	387	1739	2722
ˈ ĩːː	436	1666	2693
ˈ ĩːː	375	1724	2640
ˈ ĩːː	305	1742	2532
ɛ 	495	1848	2463
ˈ ĩːː	359	1602	2555
ˈ ĩːː	309	1789	2688
ˈ ĩːː	328	1761	2718
ũ	358	1643	2629
i	487	2064	2464
 ˈu	421	946	2432
ũ 	351	1067	2403
i	296	2018	2706
o	389	891	2499
ˈãː 	831	1520	2443
ˈãː 	617	1335	2239
ɛ ^ɛ^̰  	451	1708	2674
^ɛ^̰ ɛ	515	1847	2712
ĩːː	427	1689	2680
ˈ ĩːː 	369	1631	2622
ˈ ĩːː 	410	1546	2739
ˈ ĩːː 	553	1730	2763
ˈ ĩːː 	398	1582	2658
a ᵃ^̰ 	568	893	2296
ᵃ^̰ ˈa 	676	1222	2195
ˈ ĩːː	401	1735	2804
ˈ ĩːː 	342	1459	2732
ˈ ĩːː	357	1575	2737
i	336	2292	2859
a	531	1569	2331
iː	353	2200	2785
ˈaːː 	670	1405	2265
ˈ aːː 	707	1477	2345
i	304	2013	2225
ˈi	285	2147	3016
ṵ̃ː	443	1890	2695
ˈoː	529	885	2791
i ⁱ^̰ 	321	2091	2567
ⁱ^̰i	284	2165	2717
ˈo	426	1060	2676
i ⁱ^̰ 	316	1628	2476
ⁱ^̰ ˈiː	352	2239	2886
i ⁱ^̰ 	293	1920	2600
ⁱ^̰ ˈiː	336	2279	2889
a	516	1368	2527
u	361	962	2612
u	365	874	2646
o	538	1063	2814
i	294	2207	2378
i	245	2044	2410
ˈo	449	1121	2596
ˈɛː 	378	1897	2707
ɛ̃ː 	276	1648	2619
ũ	320	1344	2566
aː	652	1436	2485
o	595	1411	2837
aː	626	1309	2458
o	424	1202	2603
aː	656	1390	2362
o	512	1003	2629
ũ 	456	1114	2351
i	313	1878	2458
i	289	2042	2750
ũː 	371	1305	2639
ũ	464	1118	2366
i	324	1692	2379
i	294	2023	2556
ũː	348	1510	2609
ĩːː	425	1572	2705
ĩːː	425	1724	2787
ˈiːː	462	1745	2831
ˈ ĩːː 	370	1812	2710
i	372	2220	3022
i	327	2209	3019
i ⁱ^̰ 	308	1742	2522
ⁱ^̰ iː	268	2177	2911
ĩːː	337	2222	2748
iː	298	2171	2746
a	551	1565	2223
ˈaː 	644	1298	2252
ˈaː	643	1227	2210
ˈaː 	662	1381	2295
ˈaː	692	1321	2243
a	574	1402	2399
i	377	2107	2727
aː	720	1379	2197
a	563	1381	2458
i	300	2069	2618
aː	680	1393	2173
i	302	1916	2434
a	642	1482	2332
i	322	2146	2579
aː 	696	1342	2173
i	332	1968	2558
a	544	1382	2541
i	347	2025	2651
aː 	737	1393	2194
a	631	1462	2359
i	312	2139	2792
aː 	674	1333	2147
a	486	1581	2671
ia	457	1689	2447
ĩː	436	1642	2601
a	520	1540	2557
ia	441	1763	2621
ĩː 	573	1723	2710
u	343	995	2654
a	553	1405	2510
ĩ	358	2205	2957
ã	541	1534	2293
i	334	1980	2668
_#	531	1760	2679
ũ	380	982	2814
a	567	970	2384
a	771	1307	2202
ũ	437	1233	2525
ũ	381	950	2845
a	569	969	2382
ˈa	771	1307	2202
ũ	423	1368	2524
ũː	373	979	2512
a	535	1559	2277
ũ	354	912	2671
a	598	1449	2410
a	626	1599	2574
a	570	1539	2391
o	558	1215	2739
a	538	1322	2242
a	553	1448	2437
u	368	955	2539
a	662	1405	2451
a	576	1381	2422
_#	1001	2929	4823
a	497	1468	2596
i	297	2116	2680
i	290	2172	2846
aː 	687	1357	2121
i	335	2143	2800
ãĩ	382	1822	2505
ĩːː 	399	1982	2710
ĩːː 	365	1810	2690
a	539	1615	2537
i	350	1802	2552
iːː 	551	1695	2774
ĩːː	371	1714	2839
ĩːː	354	1528	2594
a	517	1577	2525
i	322	1784	2513
iːː	498	1701	2711
ĩːː	415	1934	2730
ĩːː	331	1835	2706
a	538	1614	2540
i	388	1700	2629
iːː 	508	1679	2754
o	437	1390	2322
o	566	1416	2549
oː 	590	1575	2488
o	487	1348	2212
o	673	1538	2547
a ᵃ ^̰	464	1721	2247
ᵃ^̰ a	592	1450	2182
ɛː	427	1854	2394
aː 	596	1388	2242
a	813	1501	2349
a	558	1472	2462
a	598	1526	2265
ũːː 	424	1723	2499
ãː 	495	1578	2270
ɛː 	435	1850	2495
aː 	621	1473	2120
a	594	1521	2149
a	536	1413	2604
ia	463	1715	2537
ũː	450	1573	2347
o	473	870	2413
ˈaː 	621	1347	2234
a ᵃ^̰ 	581	1067	2143
ᵃ^̰ ˈa	624	1246	2150
i	291	1697	2223
ˈãː	512	1224	2141
i	299	1950	2419
ˈa	568	1491	2407
iːː	291	2196	2848
i	328	2248	2791
a	499	1604	2538
iːː	307	2218	2824
i	300	2160	2786
i	306	2068	2687
o	518	1255	2450
o	464	810	2699
o	474	1277	2424
o	471	983	2735
a	556	1386	2560
i	251	2232	2856
a	533	1201	2423
ˈi	262	2050	2636
a	547	1283	2501
i	295	2186	2875
a	559	1372	2502
ˈi	345	2156	2878
a	630	1464	2566
a ᵃ^̰	603	1428	2256
ᵃ^̰ ˈɐ 	675	1454	2410
a	567	1561	2492
a ᵃ^̰	594	1369	2333
ᵃ^̰ ˈɐ	679	1331	2207
i ⁱ^̰	352	1983	2531
ⁱ^̰ i	327	2017	2743
i ⁱ^̰	320	1967	2446
ⁱ^̰ i	354	1820	2660
u	392	1348	2569
i	289	2067	2831
i	433	2257	2771
u	342	1210	2567
i	302	2168	2974
ˈi	410	2296	2817
u	361	1314	2261
ã	442	1650	2328
ˈĩ	333	2014	2805
a	601	954	2323
a	738	1326	2387
a ᵃ^̰ 	620	1044	2396
ˈ a	812	1257	2247
a	556	954	2247
ˈo 	467	1179	2694
õ ᵒ^̰	417	982	2580
ᵒ^̰ õ	396	1420	2671
õᵒ^̰	432	1038	2627
ᵒ^̰õ 	383	1421	2627
ã ᵃ^̰ 	655	1041	2019
ᵃ^̰ ˈã	426	999	2314
ɛ 	409	1460	2542
ˈ ĩ	304	1431	2389
ã ᵃ^̰ 	715	1125	2152
ᵃ^̰ ã	470	973	2286
ẽ	460	1246	2017
ˈ ĩ 	251	1437	2447
ã ᵃ^̰ 	710	1056	2214
ᵃ^̰ ˈã	804	1194	2096
ˈɛː 	357	1528	2264
ã 	655	1076	2328
ã	605	1125	2212
e	494	1691	2540
ã ᵃ^̰	721	848	2299
ᵃ^̰ ã 	732	1366	2298
ˈ i	256	1367	2488
ã	766	913	2257
ã	747	1361	2290
i	242	1375	2581
ã ᵃ^̰	734	981	2265
ᵃ^̰ ã 	900	1290	2183
ũ	356	1429	2561
ũ	333	800	2597
ˈ iː 	281	1444	2626
ũ	404	1423	2892
ũ	469	972	2628
õ	420	1474	3008
ɛ 	449	1204	2398
a	807	1478	2451
i	347	2103	2480
a	633	1386	2322
e	416	1370	2310
i	384	2268	2904
ũ 	369	1386	2946
ũ 	435	723	2678
ĩː	288	1385	2625
ũ	374	1381	2882
ũ	436	981	2710
ũ	417	1073	2782
a	858	1412	2644
a	607	1369	2313
ˈi 	299	2163	2904
ũ 	292	741	2509
a	504	1388	2371
ˈi 	302	2232	2815
a ᵃ^̰ 	678	1489	2370
i	328	1817	2757
aᵃ^̰ 	687	1539	2494
ˈi	344	1767	2752
a ᵃ^̰ 	647	1261	2058
ˈi	293	2245	2879
a ᵃ^̰	548	1303	2122
i	300	2201	2862
ɛ	436	1823	2459
a	505	1385	2325
ɛ	417	1840	2408
a	454	1376	2315
ɛ	415	1888	2483
a	631	1452	2315
ɛ	320	1851	2440
ɛ 	422	1867	2608
a	674	1411	2316
ɛ 	420	1855	2506
a	658	1355	2272
ɛ	418	1878	2428
a	520	1270	2385
ɛ	350	1128	2408
i	340	2088	2713
ɛ	367	1755	2441
a	482	1192	2357
ɛ	345	1571	2498
ɛ	387	1758	2579
a	498	1203	2388
ɛ	316	1305	2399
i	340	2177	2802
ɛ	380	1880	2572
a	525	1557	2494
i	355	2164	3004
ɛ 	369	1821	2485
a	730	1597	2528
ɛ	375	1785	2504
a	635	1536	2501
ɛ 	410	1742	2422
a	546	1332	2045
ɛ	437	1204	2524
a	523	1415	2251
ɛ 	382	1789	2537
a	557	1289	2491
ɛ	438	1317	2727
a	532	1437	2338
ɛ	413	1781	2438
a	546	1323	2559
ei	297	1769	2686
ɛ	362	1783	2445
i	308	2043	2724
ɛ	423	1716	2378
a	593	1410	2389
a	751	1385	2212
ɛ	407	1719	2408
a	563	1461	2510
a	650	1404	2236
ɛ	433	1803	2598
i	327	1943	2609
i	326	2032	2467
a	638	1519	2372
e	442	1351	2205
i	385	2277	2896
i	337	2150	2723
i	331	1858	2610
i	337	2150	2723
i	331	1858	2610
i	317	2162	2876
i	283	1902	2730
u	362	1390	2338
i	312	2178	2704
i	301	2082	2831
u	308	1473	2369
a	551	1559	2336
a	603	1556	2257
i ⁱ^̰ 	323	2335	2719
ⁱ^̰ i	334	2422	2668
i	291	2016	2777
a	597	1560	2345
a	566	1564	2206
i	412	2192	2536
i	292	2098	2771
i	348	1742	2697
ˈi 	323	2210	2794
i	457	1622	2596
ˈi 	373	2125	2849
ˈiː 	392	1970	2763
iː	437	1815	2682
ˈiː	321	2044	2587
ˈ ĩːː 	391	1798	2679
ĩː 	353	2001	2543
ˈĩːː	372	1804	2767
ˈ ĩːː 	423	1676	2575
ĩː	398	1745	2696
a	727	1426	2511
a	688	1458	2344
a	709	1424	2479
a	766	1511	2451
