Vowel	F1	F2
a	359	1394
a	399	1736
a	410	1140
a	414	1343
a	429	1479
a	434	1362
a	451	1693
a	455	1586
a	472	1219
a	476	1547
a	491	1598
a	493	1197
a	498	1475
a	499	1514
a	499	1880
a	504	1617
a	511	1379
a	516	1555
a	520	1262
a	521	1395
a	522	1515
a	526	1475
a	526	1558
a	529	1369
a	530	1419
a	530	1604
a	535	1494
a	536	1414
a	536	1600
a	538	1311
a	538	1471
a	538	1584
a	541	1292
a	542	1519
a	543	1438
a	544	1469
a	545	1896
a	548	1381
a	549	1563
a	554	1387
a	554	1609
a	554	1609
a	557	1571
a	558	1428
a	558	1727
a	559	1413
a	561	1833
a	562	1509
a	562	1509
a	564	1516
a	565	1371
a	566	1296
a	566	1570
a	569	1482
a	572	1423
a	576	1489
a	583	1011
a	583	1478
a	583	1500
a	583	1650
a	586	1472
a	589	1500
a	589	1734
a	590	1765
a	592	1535
a	594	1398
a	594	1398
a	594	1409
a	595	1457
a	598	1655
a	600	1479
a	601	1405
a	602	1429
a	608	1055
a	608	1450
a	611	1596
a	612	1315
a	612	1412
a	614	1522
a	618	1405
a	618	1446
a	621	1463
a	623	1568
a	625	1426
a	626	1396
a	626	1435
a	629	1307
a	629	1444
a	629	1557
a	631	1420
a	631	1512
a	632	1363
a	632	1541
a	632	1562
a	633	1482
a	634	1321
a	637	1472
a	641	1408
a	644	1486
a	646	1466
a	648	1415
a	648	1614
a	649	1615
a	650	1464
a	650	1490
a	651	1392
a	656	1458
a	658	1538
a	659	1383
a	660	1384
a	660	1436
a	661	1412
a	662	1471
a	662	1636
a	670	1350
a	670	1350
a	670	1509
a	682	1465
a	683	1393
a	684	1403
a	691	1525
a	696	1508
a	700	1421
a	701	1395
a	705	1187
a	705	1476
a	705	1491
a	705	1503
a	717	1406
a	717	1445
a	718	1437
a	718	1582
a	721	1425
a	723	1419
a	723	1522
a	738	1433
a	742	1414
a	743	1433
a	743	1688
a	747	1431
a	754	1482
a	764	1404
a	767	1443
a	768	1409
a	773	1423
a	773	1534
a	781	1268
a	791	1347
a	793	1466
a	801	1310
a	805	1303
a	811	1498
a	812	1408
a	835	1446
a	835	1446
a	836	1413
a	848	1516
a	852	1375
a	890	1521
a	904	1430
a:	755	1411
aː	456	1430
aː	477	1353
aː	497	1185
aː	501	1287
aː	508	1322
aː	538	1365
aː	551	1248
aː	606	1450
aː	621	1264
aː	622	1373
aː	631	1327
aː	634	1417
aː	654	1352
aː	666	1346
aː	674	1242
aː	675	1382
aː	676	1310
aː	683	1352
aː	683	1389
aː	695	1363
aː	697	1335
aː	699	1285
aː	703	1377
aː	708	1388
aː	709	1331
aː	709	1462
aː	711	1425
aː	717	1256
aː	717	1314
aː	717	1411
aː	718	1341
aː	729	1297
aː	733	1253
aː	740	1326
aː	746	1384
aː	746	1384
aː	760	1295
aː	764	1315
aː	778	1367
aː	834	1360
