Vowel	F1	F2
ã	539	1521
ã	545	1653
ã	546	1556
ã	553	1119
ã	583	1566
ã	617	1576
ã	618	1665
ã	619	1401
ã	673	1216
ã	676	1478
ã	677	1440
ã	684	1387
ã	685	1594
ã	686	1527
ã	723	1098
ã	738	1399
ã	746	1488
ã	798	1468
ã	821	921
ã	837	1329
ãː	363	1128
ãː	427	1214
ãː	501	1241
ãː	535	1468
ãː	943	1428
ã̰	404	992
ã̰	447	951
ã̰	628	1651
ã̰	713	1049
ã̰	722	995
ã̰	725	1159
ã̰	728	1019
ã̰	754	1412
ã̰	790	904
ã̰	808	1198
ã̰	946	1242
ã̰ː	744	1563
a̰	446	1440
a̰	496	874
a̰	503	889
a̰	566	1289
a̰	575	1048
a̰	600	1399
a̰	609	1025
a̰	618	984
a̰	622	1032
a̰	622	1289
a̰	642	1512
a̰	646	982
a̰	650	1175
a̰	662	1224
a̰	670	1054
a̰	732	1229
a̰	763	1257
a̰	797	1321
a̰ː	582	987
a̰ː	733	1216
