Vowel	F1	F2
i	210	1890
i	246	2540
i	251	2178
i	255	1987
i	257	1196
i	259	2456
i	264	2072
i	265	1989
i	265	2269
i	266	2274
i	267	2253
i	270	2242
i	271	2171
i	273	2076
i	273	2076
i	273	2158
i	274	2014
i	275	2252
i	277	2119
i	277	2257
i	279	2148
i	281	2193
i	283	2031
i	286	2173
i	286	2179
i	286	2189
i	287	1760
i	291	1662
i	291	2044
i	293	2110
i	294	2146
i	294	2210
i	294	2210
i	297	2269
i	298	2090
i	298	2118
i	300	2164
i	300	2204
i	300	2218
i	301	2182
i	302	2174
i	302	2319
i	303	1655
i	304	2060
i	304	2239
i	305	2102
i	305	2384
i	307	1923
i	307	2147
i	309	2095
i	309	2207
i	310	2067
i	310	2186
i	312	2106
i	312	2347
i	313	1902
i	315	2012
i	315	2161
i	315	2219
i	316	2018
i	317	1722
i	317	2275
i	319	2234
i	320	1627
i	320	2037
i	320	2038
i	320	2301
i	321	2299
i	322	2066
i	322	2152
i	322	2254
i	323	1833
i	324	2160
i	325	2393
i	327	2270
i	328	1546
i	328	2108
i	329	1778
i	329	2246
i	330	2334
i	330	2334
i	332	1528
i	332	2231
i	333	2310
i	337	1361
i	337	2188
i	337	2324
i	338	2137
i	338	2254
i	340	2084
i	340	2108
i	340	2552
i	341	1819
i	341	2471
i	342	2256
i	342	2263
i	342	2263
i	345	2117
i	347	1964
i	348	2215
i	349	1706
i	351	1405
i	354	2085
i	354	2230
i	359	2204
i	360	1720
i	360	2271
i	361	2195
i	362	1065
i	362	2272
i	366	2360
i	367	2080
i	367	2080
i	367	2352
i	368	1864
i	368	2095
i	369	2275
i	370	2188
i	374	1015
i	374	1933
i	375	2457
i	377	1573
i	377	2279
i	383	2131
i	383	2228
i	385	2144
i	385	2186
i	392	1581
i	394	2246
i	395	1425
i	395	1425
i	396	1982
i	397	2154
i	398	2001
i	403	1758
i	408	1974
i	410	2076
i	412	1644
i	414	2186
i	435	2133
i	452	2318
i	452	2483
i	453	2266
i	459	2347
i	459	2347
i	461	1796
i	461	1796
i	467	1567
i	531	1313
i	1364	2680
i:	269	1396
i:	269	1396
i:	304	2184
iː	243	2202
iː	245	2243
iː	255	2180
iː	262	1570
iː	264	2213
iː	267	1747
iː	269	1452
iː	271	1535
iː	285	1534
iː	292	2406
iː	293	2188
iː	295	2261
iː	295	2261
iː	297	2195
iː	297	2195
iː	301	1154
iː	301	2180
iː	306	2289
iː	309	1987
iː	309	2116
iː	313	1422
iː	317	1485
iː	317	1673
iː	317	2157
iː	322	1244
iː	324	1737
iː	324	2294
iː	327	1542
iː	330	2224
iː	333	2256
iː	336	1911
iː	337	2381
iː	337	2422
iː	339	2097
iː	341	1669
iː	342	2153
iː	345	1154
iː	345	1294
iː	346	1675
iː	348	2387
iː	352	2076
iː	360	2047
iː	360	2047
iː	363	2066
iː	370	2086
iː	376	2589
iː	380	2339
iː	389	2348
iː	393	2056
iː	393	2056
iː	393	2303
iː	404	1654
iː	487	1677
iː	502	1630
iː	508	1620
iː	539	2350
iː	724	2454
