Vowel	F1	F2
ĩ	271	1322
ĩ	303	1660
ĩ	306	1743
ĩ	306	1746
ĩ	321	1849
ĩ	324	1455
ĩ	332	1389
ĩ	340	1939
ĩ	366	2378
ĩː	262	1806
ĩː	277	1586
ĩː	281	1157
ĩː	284	1695
ĩː	300	1228
ĩː	300	1630
ĩː	304	1642
ĩː	314	1621
ĩː	318	1426
ĩː	322	1534
ĩː	323	1493
ĩː	326	1403
ĩː	327	1123
ĩː	331	1435
ĩː	337	1753
ĩː	340	1488
ĩː	340	1560
ĩː	340	1560
ĩː	342	1383
ĩː	342	1596
ĩː	346	2412
ĩː	346	2412
ĩː	349	1135
ĩː	349	2334
ĩː	353	1066
ĩː	356	1341
ĩː	358	1183
ĩː	358	2284
ĩː	359	1560
ĩː	360	2190
ĩː	366	1482
ĩː	367	1178
ĩː	370	1597
ĩː	395	1474
ĩː	397	1368
ĩː	399	1697
ĩː	404	1807
ĩː	445	2441
ĩː	466	1864
ĩː	515	2357
ĩː	618	2432
ḭ̃	311	2408
ḭ̃	327	1391
ḭ̃	401	1719
ḭ̃	456	2517
