Vowel	F1	F2
u	256	971
u	267	902
u	267	976
u	280	813
u	284	931
u	287	870
u	326	1016
u	327	1180
u	327	1180
u	329	1565
u	332	1033
u	335	970
u	341	921
u	344	883
u	346	832
u	351	1522
u	353	1517
u	358	814
u	359	878
u	362	1086
u	363	1434
u	376	1146
u	380	1009
u	380	1104
u	382	1110
u	382	1110
u	382	1212
u	383	833
u	383	833
u	385	1161
u	385	1191
u	385	1237
u	386	940
u	391	1147
u	392	1231
u	406	625
u	409	750
u	410	816
u	410	816
u	417	907
u	419	926
u	420	1145
u	422	1183
u	436	895
u	447	625
u	472	1589
u	472	1589
u	496	1183
u	537	1502
uː	345	835
uː	345	835
uː	358	819
uː	365	840
uː	386	824
uː	406	625
