Vowel	F1	F2
ũ	262	545
ũ	303	1347
ũ	311	940
ũ	314	1403
ũ	318	1420
ũ	320	794
ũ	339	756
ũ	341	1167
ũ	341	1167
ũ	342	799
ũ	364	1088
ũ	364	1546
ũ	376	1473
ũ	381	1368
ũ	393	1196
ũ	393	2429
ũ	399	1392
ũ	400	1234
ũ	414	1129
ũ	423	1219
ũ	429	1387
ũ	431	926
ũ	439	1135
ũ	440	1437
ũ	440	1437
ũ	474	793
ũ	474	1403
ũ	484	1098
ũ	497	1672
ũ	518	976
ũ	529	896
ũ	537	1113
ṵ̃	383	1480
ũː	326	1114
ũː	332	1550
ũː	360	555
ũː	373	1374
ũː	389	736
ũː	393	1428
ũː	401	1841
ũː	410	1039
ũː	410	1212
ũː	424	1338
ũː	439	1230
ũː	452	1461
ũː	489	1395
ũː	500	965
ũː	504	1728
ũː	504	1764
ũː	505	1707
ṵ̃	421	1267
ṵ̃ː	373	424
ṵ̃ː	451	1564
ṵ̃ː	553	1413
ʔõ	411	1264
