Vowel	F1_mid	F2_mid	F3_mid
i:_n	346	2412	2947
u	417	907	2503
i	342	2263	3174
u	472	1589	2406
i	459	2347	2979
u	410	816	2746
i	461	1796	2867
u_n	440	1437	2485
i_n	306	1746	2646
o_n	486	895	2392
u	327	1180	2855
a	594	1398	2967
u_n	341	1167	2531
i:	269	1396	2583
u	382	1110	2625
i	320	2037	2628
i	332	2231	2898
i	309	2095	2482
iː	336	1911	2520
i	322	2220	2714
iː	334	2258	2966
o	541	974	2571
a	835	1446	2586
a	562	1509	2949
aː	746	1384	2721
a	768	1409	2578
a	836	1413	2588
aː	760	1295	2735
a_k	676	1478	2480
i	362	1065	2569
a	614	1522	2703
i	320	1627	2610
a	598	1655	2628
iː	301	2180	3053
i	310	2186	2773
i	377	2279	2732
a_k	618	1665	2663
i	453	2266	2704
a	649	1615	2635	
i	412	1644	2586
a	583	1650	2517
iː	317	2157	2695
i	304	2060	2704
i	360	2271	2774
a_k	685	1594	2549
i_n	340	1939	2779
i_n	324	1455	2495
o	578	786	2392
a	705	1476	2273
i_k	408	1912	2931
a	705	1503	2592
a	626	1396	2506
a_k	746	1488	2498
a	498	1475	2810
i_n	332	1389	3012
o_k	683	775	2655
a	718	1582	2532
i_n_k	456	2517	3355
a	793	1466	2696
a	601	1405	2390
a_k	545	1653	2290
u:_n	489	1395	2371
a	660	1436	2486
i	348	2215	2892
a_k	617	1576	2559
u:_n	422	1354	2499
a	691	1473	2475
i	321	2234	2892
i:_n	340	1560	2714
iː	337	2422	3141
a	648	1614	2596
uː	345	835	2721
i:_n	466	1864	2796
iː	380	2339	3064
a	536	1600	2538
uː	365	840	2784
iː	363	2066	2629
u	392	1231	2753
a	612	1315	2536
u	419	926	2391
i	315	2012	2576
i	366	2360	2913
iː	330	2224	2513
u	382	1212	2611
a	634	1321	2498
u	391	1147	2334
i	397	2154	3214
i	337	1361	2596
iː	360	2047	2857
i	395	1425	2400
u	406	625	2487
iː	393	2056	2853
i	367	2080	2442
u	383	833	2399
a	723	1522	2584
a	631	1420	2399
a	633	1482	2645
u	385	1237	2810
a	811	1498	2636
a	618	1446	2534
a	738	1433	2470
u	363	1434	2365
i	340	2108	2570
