Phonological Value	Duration (ms.)	Filename
j	191.7	ADJ_green_01_spkrJS
j	321.9	N_tongue_01_spkrJS
j	207.6	N_tongue_02_spkrJS
j	200.3	P_that_thin_green_fruit_01_spkrJS
j	213.1	P_that_thin_green_fruit_02_spkrJS
j	216.2	P_thin_green_fruit_POSS_1st_sg_02_spkrJS
j	110.3	S_I_want_it_to_rain_tomorrow_01_spkrTS
j	150.1	S_I_want_it_to_rain_tomorrow_02_spkrTS
j	177.5	S_I_want_it_to_rain_tomorrow_03_spkrTS
j	85.5	S_Q_I_heard_your_car_broke_down_01_spkrJS
j	135.9	S_jump_1st_sg_Fut_over_there_then_pee_02_spkrJS
j	104.0	S_my_car_broke_down_01_spkrJS
j	125.3	S_take_this_moon_01_spkrJS
j	279.4	S_take_this_moon_01_spkrJS
j	228.3	S_take_this_moon_01_spkrJS
j	199.2	V_sleep_1st_sg_01_spkrJS
