Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha	and so			y pues					Cha nikitsaa tsoko ka kikui tiku nani nchu'a .	And so the possum began to sew and thread for a long time.	Y pues la zarigüeya empezó coser y enhebrar para un lungo tiempo.	
	he/she/it threads	he/she/it is threading		enhebra	está enhebrando				Kiku xeen kiku nchu'i ñantu'i yukú ka .	He was sitting in the woods, threading and sewing vigorously.	Estaba en el bosque enhebrando y cosendo enérgeticamente.	
	I'm sewing I'm sewing			coso coso	estoy cosendo estoy cosendo				- Kiku sa'ma -	I'm sewing clothes.	Estoy cosendo ropas.	
	they sewed they sewed			coseron coseron					Kiku kueyi vari yakui ka ra koo sa'mi .			
	very bad			muy malo					Kini xeen na'a sa'ma sa'u .	The clothes you're making are looking bad.	Las ropas qué estás haciendo se veen muy malo.	
	give give			da da					Kua'a sa'mu , nakiku nachinchee yo .	Give me the clothes, I can help you sew.	Dame la ropa, puedo ayudarte coser.	
kue	not			no					Kue va'a kiku ku .	You're not sewing well.	No estás cosendo bien.	
	no problem			no hay problema					- Kue sa'a ni , nako'on	No problem, let's go.	No hay problema, vamos.	
	I won't go	I will not go	will not	no me voy	no voy a ir	no			Ma ku'un yu , vari kini xeen kaa sa'ma .	I won't go because the clothes are really ugly.	No me voy porqué mis ropas son muy feas.	
	let's go let's go			vamos vamos					Nako'on viko .	Let's go to a party.	Vamos a la fiesta.	
	when you are done when you are done			una vez qué termines una vez qué termines					Natsinu sa'mu ra nako'on viko .	When the clothes are done, let's go to a party.	Una vez qué las ropas son terminadas, vamos a la fiesta.	
nchaa	until			hasta					Nchaa ntakacha ña	Not until I wash them.	No hasta las lava.	
	what are you doing?	what		¿qué estas haciendo?	¿qué haces?	qué			¿ Nchi sa'u , mpaa luu ?	What are you doing little compadre?	¿Qué estas haciendo compadrito?	
	they hit the road			dieron el camino					Niki'in kueyi ichi kua'in .	They hit the road and went.	Dieron el camino y se fueron.	
	arrived arrived			llegó llegó					Nikitsaa in tsoko sara nikachia saan :	A possum arrived then he said this:	Llegó una zarigüeya y dijó así:	
	began began			empezó empezó					Nikitsaa kuun ta savi .	It began to storm.	Empezó una tormenta.	
	he arrived he arrived			llegó llegó					Nikitsai kava ka niya'a tsa'i , nikavi niketi mancha ini yuu .	He arrived at a rocky area and he slipped, he fell down and rolled all the way down into a ditch.	Llegó a una área rocosa y pues resbaló, caía y rodía hasta una zanja.	
	he approached he approached	he got close he got close		se approximó se approximó					Nikuyachia nuu ituu tsio ña ra niki'vi yaa sa'mi .	He got close to the burning embers and got ashes on his clothes.	Se approximó a las brasas y cenizas se pegaron en sus ropas.	
	he grabbed he grabbed			agrarró agrarró					Ntakinchai sa'mi kiku mii tiku kuachi .	He took the clothes and he began to sew it happily.	Agarró las ropas y él empezó coserlo felizmente.	
	he found he found			encontró encontró					Ntantuki yu'a sara nikitsai kikui .	He found thread then began to sew.	Encontró el hilo y empezó a coser.	
	he arrived he arrived			llegó llegó					Ntatsai vi'i kisi si ña vitsi .	He got home shivering from the cold.	Llegó a case temblabando del frío.	
	once upon a time there was	one day there lived		érase una vez					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
sara	and then			y pues					Sara ntuvii sa'mi sara kuachi .	Then his clothes were clean and he was happy.	Y pues sus ropas estaban limpias y estaba feliz.	
ta	when			cuando					Ta ntsai viko ka , nikitsaa kueyi tsain kueyi yaa , ntsi'i kueyi ra ntsinia .	When they he arrived at the party, they began to dance, they drank and got drunk.	Cuando llegaron a la fiesta empezaron bailar, y bebieron y se emboracharon.	
	that's why			es por eso que					Tsa'a ña ntiñu'u kui yee vichi .	And that's why today it is the color of ash.	Y es por eso qué el tiene el color de ceniza hoy en día.	
	he came he came			vino vino					Vatsi ntitsi mitu'un yakui ka .	The armadillo quickly went home by himself.	El armadillo vino rapidamente a casa por se mismo.	
	they hit the road			dieron el camino					Niki'in kueyi ichi kua'in .	They hit the road and went.	Dieron el camino y se fueron.	
	once upon a time there was	one day there lived		érase una vez					Ntsio in kii in yakui ntivixi , yii yukú koo sa'mi .	One day there was a cold armadillo who lived in the woods without clothes and was always cold.	Érase una vez un armadillo frío que vivía en el bosque sín ropas.	
