Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ana	who			quién					— ¿ Ana chinchee yu ?	Who will help me?	¿Quién me ayudará?
Kua'an ti	it went			se fue					Kua'an ti sava ichi kantu'u in titsa'an , ntsicha nti'i so nuni luu sara ntaki'in ti nuni luu ka .	It was walking and half way down the road a pan was sitting there, all it's corn had spilled out so it gathered up all the kernals.	Caminaba y medio camino había una olla, derramó todo los granos de maíz y ella los recogío.
Kua'an	go away			vayate					— ¡ Kua'an !	Go away!	¡Vayate!
kue	not			no					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
kue	do not	not		no					Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
kuena	they			ellos					¡ Kuena kue sachuun saan so kue tsatsi na staa !		
Kunkatsi	I will eat			voy a comer	comeré				Kunkatsi mitu'un staa	I'll eat the tortillas myself	Yo como las tortillas yo mismo
ma	will no			no					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
mee	me			yo					— ¡ Mee , mee , mee !	I will! I will! I will!	Yo! yo! yo!
na'a	come			ven					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
Na'a	come			ven					Na'a , chincheu yu ,	Come help me	Ven, ayudame
Nantaki'on	let's gather	let's collect		recogamos					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
Nantasava'a ko	let's prepare			preparamos					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
Nastee ko	let's plant			vamos a plantar					Nastee ko , nachi'o tata yu	Let's plant, let's lay my seed.	Vamos a plantar, plantamos mis semillas.
nchi	what			qué					— ¿ Nchi sa'u ?	What are you doing?	¿Qué haces?
nchi	what			qué					— ¿ Nchi sa'u ?	What are you doing?	¿Qué estas haciendo?
Nikivi ti	it entered			entró					Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
Ntatsaa ti	it arrived			llegó					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
Ntsio in kii	one day there was			había una vez					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
nuu	where			dónde					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
Saan ni va'a ni	no problem			no hay problema					— Saan ni va'a ni , inka tuku kii	No problem, another day.	No hay problema, un otro día.
sara	then			y					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
sara	then			y					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
sara	then			y					Sara ntsini ti tsika nuu in tina sara nikachi ti tsian :	Then it saw a dog walking towards it and said to it:	Y vio un perro caminando hacía ella, y le dijó:
sara	then			y					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
sara	then			y					Sara ntsa'an ti tsa'ncha ti ku'u nuu itu ti .		
sara	then			y					Sara ntsaa in kolo sara nikachi ti :	Then a turkey arrived and it said:	Y llegó un pavo, y dijó:
sara	then			y					Sara ntsa'nu itu ti sara kua'an tuku ti skee ti .	Then it's field grew and then it went back to harvest.	Y su maizal cresció y ella se vovió para cosechar.
sara	then			y					Sara niketa vilu ka kua'an ti .	Then the cat turned around and left.	Y el gato se dio la vuelta y se fue.
Vasa kutsaa	I'm not available			no estoy disponible					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
Vasa kutsaa	I'm not available			noy estoy disponible					— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
Vasa	can not	not available		no puedo					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
Vasa kuu	I'm not able to			no puedo					— Vasa kuu vari vii nta'a	I can't because my beautiful hands.	No puedo debido a mis mano bonitas.
vichi	now			ahora					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
yo'o	here			aquí					— Yo'o sachuun , tu'un ku'u .	I'm working here, pulling weeds	Trabajo aquí, saco la hierba.
yo'o	here			aquí					— Yo'o skee .	I'm harvesting here.	Cosecho aquí.
ana	who			quien					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
chain	between			entre					Nuu inkaa ti skee ti chain ntayo'o ka ntsaa in kini luu .	A pig came to where it was harvesting in between the corn stalks.	Llegó un cierdo dónde cosechaba entre los tallos de maíz.
chi'i ti	it sprouted			brotó					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	
chinchee	helps			ayuda					— ¿ Ana chinchee yu ?	Who will help me?	¿Quién me ayudará?
chincheu	you help			ayudas					— ¿ A kuu chincheu yu ?	Can you help me?	¿Puedes ayudarme?
chincheu	you help			ayudas					— ¿ A ma kuu chincheu yu ?	Can you not help me?	No me puedes ayudar?
chincheu	help	help me		ayudas	ayudame				Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
chincheu yu	help me			ayudame					Na'a , chincheu yu ,	Come help me	Ven, ayudame
chincheu	you help			ayudas					— ¿ A kuu chincheu yu kavu staa ?	Can you help me flip the tortillas?	¿Puedes ayudarme voltear las tortillas?
chuún	chicken			gallina					Ntsio in kii , in chuún luu ntakuisa ti nto'o ti sara kua'an ti ichi .	One day there lived a small chicken that carried it's basket on it's back and it left for the road.	Había una vez una gallina pequeña que cargaba su canasta en su espalda y se fue por el camino.
ini cocina ti	into it's kitchen	it's kitchen		into su cocina	su cocina				Nikivi ti ini cocina ti sara nikachi ti :	It entered the kitchen and said:	Entró an la cocins y dijó:
