Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha vichi ra kee tsio ku tsio kua'a .	And now come out on your right.	Y ahora sal a tu derecha.
choko				ant			hormiga					Choko yo'o nikee ti kua ntuku ti ña katsi ti ra ntane'e ti in tukui'i .	This ant came out looking for something to eat and he found a fruit tree.	Esta hormiga salió buscando algo a comer y encontré algo en un árbol frutal.
Ku'un ti				it goes	it is going		va					Ku'un ti mancha nuu kantu'u staa .	It (animal) goes to where the tortillas are.	Va a dónde estan las torillas.
nisa				how many			cuanto					¿ Nisa chaka kuu ?	How many fish are there?	¿Cuantos pescados hay?
Ntana'a				draw			dibujas					Ntana'a in linia , nakaka tina ka .	Draw a line for the dog to walk through.	Dibuja una linea para el perro caminar.
Ntana'a				draw			dibuja					Ntana'a in ichi ña choko yo'o naku'un ti mancha nuu inkaa kui'i luu yo'o .	Draw a path that this ant should go on to where the small fruit are.	Dibuja una linea por cual la hormiga caminar a dónde estan la fruta pequeña.
Ntana'a				draw			dibuja					Ntana'a in linia .	Draw a line.	Dibuja una linea.
Ntana'a				draw			dibuja					Ntana'a in linia mancha nuu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
Ntana'a				draw			dibuja					Ntana'a in linia mancha nu kee ichi .	Draw a line up to the end of the path. Draw a line up to where the path ends.	Dibuja una linea al final del camino. Dibuja una linea a dónde fine el camino.
Ntana'a				draw			dibuja					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
Ntana'a				draw			dibuja					Ntana'a in linia mancha nuu kunkee ichi .	Draw a line up to wher the path will end.	Dibuja una linea a dónde va a terminar el camino.
tina				dog			perro					Tina yo'o tsito ti ichi kunkii ti staa inkaa mancha ini yo'o .	This dog is looking at the path, he's going to get the tortillas that are inside.	Este perro está mirando el camino, va a obtener las tortillas que estan adentro.
Tsini ñu'u				have to			tener que	tienes que				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
Tsini ñu'u				have to			tener que	tienes que				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
Tsini ñu'u				have to			tener que	tienes que				Tsini ñu'u ki'vu ichi yo'o sara ntantuku ku nixi kee tsio ku .	You have to enter this path and then you have to come out on the other side.	Tienes que entrar este camino y tienes que salir al otro lado.
yee				there are			hay					Yee  ___________ .		
yo'o				here			aquí					Yo'o ra tsini ñu'u ntantuku ku ichi takua saan kitsau mancha nuu nti'i ichi yo'o .	Here you have to look for path so that you can get to everything here on this path.	Aquí tienes que buscar el camino para que llegues hasta todo en este camino.
yo'o				here			aquí					Yo'o ra tsini ñu'u ntantuku ku nchii tsio ki'vu takua saan kuu ntasatutu nti'u ntivi .	Here you have to look for the way to enter in order to collect all of your eggs.	Aquí tienes que buscar la manera a entrar para que recogas todos tus huevos.
cha				and			y					Ntana'a in linia nchii tsio kunki'vu cha nchii tsio kunkeu .	Draw a line from the side where you enter and the side where you come out.	Dibuja una linea de dónde entras y el lado dónde sales.
chaka				fish			pescado					¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
chaka				fish			pescado					¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
chaka				fish			pescado					¿ Nisa chaka kuu ?	How many fish are there?	¿Cuantos pescados hay?
chika se'e				hide	hide from		esconde	esconder de				¿ A kuu chika se'e chaka kuachi nuu chaka ka'nu ?	Can the little fish hide from the big fish.	¿Puede el pescado pequeño esconder del pescado grande?
