Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				then			y					Cha in kii ntsiko nuu in ya'a ka'nu , ya'a ntsiko nuu ka , nikuni ti , kuntu'u ti xini sava ka .	And one day a great big eagle came to live there, the eagle came to live, it wanted to sit down on top.	Y un día un agila vinó a vivir allí, la agila vinó a vivir, quería sentarse por encima.
cha				and			y					Cha tsa'a sava ka ntsikaa in laguna nuu ntututu chikuii , nuu chikuii ka , ntsiketa kue nivi , ntsiketa kue kiti .	And at the bottom half there was a laguna where water was gathered, where water the people and the animals would (?come to? drink from?)	
cha				and then			y					Cha ta kitsaa na inka kii , cha kue na'a ña , nicha'ncha ña kai tani , kai ni .	And when the next day came, (?), they went back to chopping.	Y cuando llegó el día sigente,(?), continuaron a cortar.
ika				that			aquel					Ika kuu nuu naa tu'un tuyuku ka'nu ntsikaa ñuu Xnuviko .	That is where the story of the the great big sabine tree of San Juan Mixtepec ends.	Aquel es dónde termine el cuento del sabino grande de San Juan Mixtepec.
kachi				say			dicen					Kachi kue nivi , kuena ntsintee ta tsa na'a ka xoo , tsini na tu'un yutu ña ntsikaa ñuu yo'o .	The people say, they inhabited a long time ago, they know the story about the tree that used to be in this town.	La gente dicen, ellos habitaron hace mucho tiempo, saben el cuento del árbol que estuvo en este pueblo.
kuu				is			es					Kuu tu'un ña ñoo yo'o , ntsikaa in tuyuku , in tuyuku ka'nu , ña ka'nu nuu nti'i kue yutu .	This is a story about our town, a sabine tree stood, a big sabine tree, the biggest of all trees.	Este es un cuento sobre nuestro pueblo, había un sabino, un sabino grande, el mejor de todos los árboles.
ma				not			no					Ma nitsa'a kue nivi kuntu'u ti , nikitsaa kuena nikini na ti , siu'u na ti , ntatsi ti na , cha ntsinu ti kua'an ti .	The people did not allow it to land, they began to shoot at it, they scared it, they chased it off and it flew away and left.	La gente no le permitieron aterrizar, empezaron tirarle, le asustaron, lo perseguiron, y salió volando y se fue.
nikachi				said			dijó					Nikachi ta'an na tu'un ña ka'ncha na ña , cha nikatsa'ncha na ña .	And the people said that they should cut it and so they chopped it down.	Y la gente dijeron que lo deberían cortarlo, entonces lo cortaron.
nko'yo				Mexico			México					Tatu ña nitsa'a na kuntu'u ti xini sava ka , cha ñuu yo'o kukuu ma'i Nko'yo .	?	?
satutu				gathered			reunidos					Satutu ka na kue nivi , nivi kua'a takua nchinchee ta'an na nuu cha'ncha sava ka , vatu ni nikunchee na ntsa'ncha na yutu , tuyuku ka .	The people gathered, the people came to help their kinsmen in chopping the tree (in half/down?); (??) they were able to help chop down the tree, the Sabine tree.	
savi				half			la metad					Savi ntachi Yuku Xitu , savi ntachi Tixitu .	Half of it fell in (placeName?), half fell in (placeName?)	
