Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and then			y					Cha ntakani inia :	And then he though to himself:	Y pensó:
chanu va'a				that's why			esto es porque					¿ Chanu va'a ña ka'nu tuu ra ta niya'a yucha ka ra luu ntsio ku ? "		
in kii				one day			un día					In kii in likui ñantu'i yu'u in yucha vari vitsi xeen tsinia .	One day a frog was sitting on the bank of a river because it was very cold.	Un día un sapo se sentaba en la orilla de un río porque hacía muy frío.
meeko				us			nos					— Meeko nikini na .	We've been shot.	Nos dispararon.
nako'o				lets go			vamos					Nako'o ta chikuii ra takua nantoo tono mee stiki , ra takua saan nakachia tsion :		
nintakatu'un				asked			preguntó					Nintakatu'un likui ka :	The frog asked:	El sapo preguntó
ntsinia				drank			bebió					Ntsinia ña tsa ntsitu titsia .	He drank so much that his stomach was filled with water.	Bibió tanto que su estómago estaba lleno de agua.
sara				then			y					Sara ntsaa in stiki yucha ka vari kunku'in katsa'in kava .	Then a bull arrived at the lake because it was going to go eat (?).	Y llegó un toro porque él iba a comer (?)
sara				then			pues					Sara nintakatu'un likui ka :	Then the frog asked:	Pues el sapo preguntó:
ta				when			cuando					Ta kaa u'un ixchaan ntakoi ntsichia .	When it was five in the morning it got up and croaked.	Cuando eran las cinco en la mañana se levantó y croó.
				good			bueno					" Va'a ka , nako'on .	Good, let's go.	Bueno, vamos.
vari				because			porque					— Vari tatu nantanchiko ko yo'o katso icha ra kini kutsa'in , ña va'a ka nakutsi ko ña		
vasa ni				nowhere			alguna parte					— Vasa ni kunku'un yu	I'm not going anywhere.	No me voy en alguna parte.
vichi				now			ahora					" Vichi ra nasketa ko'on takua nantuva'a titso " .	Now I must run so that my stomach feels better.	Ahora debo correr para que el estómago senta mejor.
vá'a				bad			malo					— Vá'a ña likui ka kunia ña ntuka'nui tono meeko kua'a xeen tunto'o nikui .	It was bad that the frog wanted to get big like me because of the problems that it caused him. 	Era malo que el sapo quiería devenir grande como yo dado todos las problemas que le passaron.
