Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
cha				and so			y					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
ian				there was			había					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
ika		doesn't make sense in this context... 		there			allí					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
ika		is this 'from there'!?		there			alli					Ika nikitsaa kuera tsian .	There they left with them.	Allí dejaron con éllas.
ika				that			este					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
in kii				one day			un día					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
yuku  mi'in		what town is this? what does it's name mean?										Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
na satutu ko				let's collect			coleccionamos					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
nikachi				spoke			dijó					Nikachi ta'an kuera tu'un , ra nikachi kuera :		
chi ñuu nkuiin				to (the town of (?))			al (pueblo de (?)					Cha naku'un yu chi ñuu Nkuiin , ñuu Nkuiin tsi yuu , cha nantakita'an ñuu ra ika , kusava'a veñu'u .	And I'll go to (the town of (?)), (the town of (?)) with stone, and gather (?) there, to make the church.	Y yo me voy a (pueblo de (?)), (pueblo de (?)) con piedra,  a coleccionar (?) allí, para construir la iglesia.
