Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
in kii				one day			un día					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
inka tuku kii				the next day			el día siguente					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
sara				then			y					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
ta saan				once upon a time			había un día					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ta				when			cuando					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
tinchii		imperative, what's the lemma?		arrest			detenga					" Tinchii nivi skuina ntuxi ko " ,	Arrest the people who stole our nectar!	Detenga la gente que robó nuestro néctar!
tsio saan				that's how			así es como					Tsio saan ntsani ra uvi tsoko .	That's how he killed the two possums.	Así es como él mató los dos tlacuaches.
cha				and			y					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
in				a			un					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
inkaa				was located			estuve					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
ixchaan				morning			mañana					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
ka		what is this doing?		(topic marker?)								In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
in kii				one day			un día					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
inka tuku kii				the next day			el día siguente					Inka tuku kii ntsaa ra sara tsa nti'i tuku ntuxi nuu yavi .	The next day he arrived and then  there	El día siguente
kii xchaan		should this be a dictionary entry? is "xchaan" not 'morning' by itself?		early in the morning			temprano en la mañana					Ta ntsaa ra kii xchaan sara ntane'e ra uvi tsoko tsini ti ñantu'u ti tsa'a yavi ra .	When he arrived early in the morning he found two possums (?) that were sitting under his agave.	Cuando llegó temprano en la mañana encontró dos tlacuaches (?) que estaban sentados debajo de su agave.
ntuxi ko				our nectar			nuestro néctar					" Tinchii nivi skuina ntuxi ko " ,	Arrest the people who stole our nectar!	Detenga la gente que robó nuestro néctar!
koo				there was not			no había					In kii ntsaa ra koo ka ntuxi inkaa nuu yavi sara nika'an ra :	One day he arrived and there was no néctar on the agave and then he said:	Un día llegó y no había néctar en el agave y él dijó:
kuanu'u ra				he went home			él fue a casa					Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
kui		variant of "vi"?		it			lo					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
ntsani kuii ra				he killed			él mató					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
kumi ra		get recording compare tone between this and 'four'		he had			él tuve					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
kuu		why is this here?		were			fue					Sara ntsini ra ña tsoko ka kuu ña tsi'i ntuxi , suu nivi kui skuina .	And then he saw that the possums were drinking the nectar and it was not people stealing it.	Y vió que era los tlacuaches que estaban bebendo el néctar y no era personas robandolo.
ma nikuu				could not			no pudo					Sara nine'e ra ntintuu tsoko ka cha ntsani kuii ra ña , vari ma nikuu sketa ti vari tsini xeen ti .	Then he grabbed both possums and he killed them because they couldn't run away because they were too fat.	Y él agarró los dos tlacuaches y los mató porque no pudieron correr debido al hecho que eran muy gordos.
na'a				early			temprano					Ta saan in talinu yu kumi ra uvi yavi yuku sara ntisaan so ixchaan na'a tsa'an ra ntaki'in ra ntuxi .	Once upon a time a godfather of mine had two agave plants and every day he would go out early and collect nectar.	Había un día un padrino tenía dos agaves y cada mañana salía muy temprano para cosechar néctar.
nchikaa ra				he put			puso	aplicó				Sara ntsa'an ra niki'in ra ntixi nchikaa ra nuu yavi sara kuanu'u ra .	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.
