Orth	  Pron(1)	 Pron(Pastor and Beam de Azcona)	 Pron(Pike and Ibach)	 Pron	 Pron	 Dom(sense1.i)	 Dom(sense1.ii)	 POS(sense1)	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 LA (sense1.i)	  LA (sense1.ii)	 Def(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	 Dom(sense2.i)	 Dom(sense2.ii)	 POS(sense2)	 EN(sense2.i)	 EN(sense2.ii)	 EN(sense2.iii)	 ES (sense2.i)	 ES(sense2.ii)	  ES(sense2.iii)	 Def(sense2)	 Example (sense 2)	 Example (sense 2) (EN)	 Example (sense 2) (ES)
nivi						living being		noun	people			gente						Yo'o nantakani iin tu'un yata ña nikuu nisa'a kue nivi na ntsintee ta tsa na'a.															
se'e	séʔè					living being	Human	noun	people			gente									kinship and descent			offspring			cría						
chaa	ʧàà					human		noun	man			hombre																					
ña'á	ɲaʔá					human		noun	woman			mujer																					
ñá	ɲá					Grammar		pron	her			ella	la que																				
ñá-	ɲá 							pron	the woman that			la que						ñási'i	the wife	(la que es) esposa													
nana						human		noun	lady	woman		señora	mujer																				
suluu	súlùù					human		noun	child															baby	infant								
chaluuka	ʧààlùùɣá					human		noun	boy			niño																					
kuñu	kùɲù							noun	body			cuerpo									food			meat			carne						
kuñu kini						food		noun	pork			carne de cerdo																					
xini	ʃìní					anatomical structure		noun	head			cabeza									spatial relations		relationNoun										
xchaki						anatomical structure		noun	brain			cerebro																					
ixi	íʃì					anatomical structure		noun	hair			cabellos																					
chaan			tʃã˧ã˩			anatomical structure		noun	forehead			frente																					
xaa			ʃa˩˧a˩			anatomical structure	Face	noun	beard			barba																					
so'o	soʔó					anatomical structure	Head	noun	ear			oreja																					
nuu	nũ̀ṹ		nũ̀ṹ			anatomical structure		noun	face			cara									space	spatial relations	relationNoun							The front of (sth).	nuu ve'e	the front of the house	parte delantera de la casa
ntuchinuu	ndùʧínũ̀ṹ					anatomical structure		noun	eye			ojo																					
xikuaa	ʃi˩kwa˩a˥					anatomical structure	Eye	noun	eyelid			párpado																					
xichi	ʃìʧì					anatomical structure		noun	nose																								
xaa	ʃàà					anatomical structure		noun	chin			mentón																					
yu'u	juʔú			ju˧ʔu˥		anatomical structure		noun	mouth			boca									spatial region									Used in combination with another locational noun to refer to a transitional or border region of that item.	Sara ntsai yu'u yucha ka sara ntsikutanchii nuu yuu ka sara nikitsai tsi'a chikuii.		
yu'u	júʔú					anatomical structure		noun	lip																								
nu'un	nũ̀ʔṹ					anatomical structure		noun	tooth																								
yaa	jàá		ja˥˩a˥			anatomical structure		noun	tongue																								
suku	súkù					anatomical structure		noun	neck			cuello																					
soko		sòkò				anatomical structure		noun	shoulder			hombro																					
soko			so˩ko˩			anatomical structure		noun	collarbone	clavical		clavícula																					
sata	sát̪a					anatomical structure		noun	back			espalda									spatial configuration			in back			detrás de	atrás de					
titsi	t̪ìtsi					anatomical structure		noun	belly	stomach	abdomen	estómago									fruit			peel			cáscara						
xaantu	xáándù					anatomical structure		noun	belly button	navel		ombligo																					
xicha	ʃìʧá					anatomical structure		noun	butt			culo																					
tisa	t̪ìsá					anatomical structure		noun	penis			pene																					
tivi	dìví					anatomical structure		noun	testicles			testículos																					
chika						anatomical structure		noun	chest			pecho																					
nta'a	ndàʔá					anatomical structure		noun	hand			mano												arm			brazo						
nta'a sachi	ndáʔà sáʧì					anatomical structure		noun	left hand																								
