Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
Cha'vi		collocate: "tsa'a" (foot) collocate: "tsa'a" (foot)		pay	pay for		paga	paga por				Cha'vi tsa'a ve'e	Pay for the house.	Paga por la casa.
in				a			una					In kua'a ka skua'i nuu universdad	A sister of mine studied at the university.	Mi hermana estudió a la universidad.
Ixi ntikachi				wool			lana					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
kaki				put down			ponga					Kaki sulu ntsa nuu sa'ma	Put that baby on the clothes	Ponga este bebé su las ropas.
Kini xeen				ugly			feo					Kini xeen kau .	You're ugly.	Eres feo.
Kunau'u				remember			recuerda					Kunau'u nchíí kaku xu'un	Remember where you left the money	Recuerda dónde pusiste el dinero.
Kuntsitsi				wear			lleva					Kuntsitsi sa'ma ka'nu yo'o	Wear these big clothes.	Lleva estas ropas grandes.
nako'on				let's go			vamos					Nako'on tienda , ntakuaan mi'ncha	Let's go to the store to buy nopales.	Vamos a la tienda para comprar nopales.
nchii				what			qué					Nchii kuu ño'o	What is this?	¿Qué es este?
Yucha Ncho'o				Puebla			Puebla					Saan ntsio Yucha Ncho'o	Before I lived in Puebla I used to live in Puebla	Antes, yo viviá en Puebla.
Nikai				was burning			estaba quemando					Nikai sata tiutsa	The tree bark was burning.	La corteza estaba quemando.
nisa				how much			cuanto					Nisa ya'vi vilu ka	How much is that cat?	¿Cuanto cuesta este gato?
Nisa kuia				how old			quantos año					Nisa kuia inkau	How old are you?	¿Quantos años tienes?
Ntakoo				wake up			despiértate					Ntakoo , nako'on nuu yav'i	Wake up, lets go to the plaza.	Despiértate, vamos a la plaza.
Ntakuaan				buy			compra					Ntakuaan sa'ma yo'o	Buy these clothes.	Compra esta ropa.
Ntane'e				pick up			recoge					Ntane'e sa'mu	Pick up your clothes.	Recoge tus ropas.
Ntaxito tachi				breathe			respira					Ntaxito tachi anu	Breath into your heart.	Respira en la corazón.
Ntsama				change			cambia					Ntsama xu'un yo'o	Change this money.	Cambias este dinero.
saan				before			antes					Saan ntsio Yucha Ncho'o	Before I lived in Puebla I used to live in Puebla	Antes, yo viviá en Puebla.
				I forgot			olividé					Sana inu yu nixi nanu	I forgot what your name is.	Olividé cómo te llamas.
Sava'a				cook			cocina					Sava'a chuun nakatso	Cook the chicken for us to eat	Cocina el pollo, para que comamos.
Takaa kau				you look like			parecese a					Takaa xito ku kau	You look like your uncle.	Pareces a tu tío.
Tina luu				puppy			cachorro					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
Vitsi nchu'a yee				it is very cold			hace muy frío					Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
Xiko				Sell the big cow.	sell		Vende la vaca grande.	vende				Xiko stiki ka'nu		
xixi		This is how you would refer to them all (i.e. all older women)		aunt			tía							
yakua				dirty			sucio					Yakua kau	you're dirty	estas sucio
Yucha Ncho'o				Puebla			Puebla					Saan ntsio Yucha Ncho'o	Before I lived in Puebla I used to live in Puebla	Antes, yo viviá en Puebla.
anu				your heart			tu corazón					Ntaxito tachi anu	Breath into your heart.	Respira en la corazón.
cha'vi				to pay			pagar							
chuun				chicken			pollo					Sava'a chuun nakatso	Cook the chicken for us to eat	Cocina el pollo, para que comamos.
inkau		New sense of "inkaa" meaning 'to have'. But this also exists with "yee", and "iin" so it's not really too surprising. New sense of "inkaa" meaning 'to have'. But this also exists with "yee", and "iin" so it's not really too surprising.		you have			tienes					Nisa kuia inkau	How old are you?	¿Quantos años tienes?
				I forgot			olividé					Sana inu yu nixi nanu	I forgot what your name is.	Olividé cómo te llamas.
ixi				fur			pelo	lana	pelaje					
ka'an yu				I'm saying	I'm speaking	estoy diciendo						A tsituninu nixi ka'an yu	Do you understand how I am speaking? Do you understand what I am saying?	Entiendes como estoy hablando?
ka'nu				big			grande					Xiko stiki ka'nu		
ka'nu				big			grande					Kuntsitsi sa'ma ka'nu yo'o	Wear these big clothes.	Lleva estas ropas grandes.
takaa kaa		Used with "kaa"; maybe should be "takaa (U) kaa"		to look like	be the same as		parecerse a							
kaki		to put down (something)		to put down			dejar	colocar	poner					
		same as "put down" same as "put down"					you put	pusiste				Kunau'u nchíí kaku xu'un	Remember where you left the money	Recuerda dónde pusiste el dinero.
Takaa kau				you look like			parecese a					Takaa xito ku kau	You look like your uncle.	Pareces a tu tío.
kau				you're			eres					Kini xeen kau .	You're ugly.	Eres feo.
kau				you're			eres					Yakua kau	you're dirty	estas sucio
kini				ugly			feo							
xito ku				your uncle			yu tío					Takaa xito ku kau	You look like your uncle.	Pareces a tu tío.
kua'a				sister			hermana							
kua'a		This is inflected for 1sg right? This is inflected for 1sg right?		my sister			mi hermana					In kua'a ka skua'i nuu universdad	A sister of mine studied at the university.	Mi hermana estudió a la universidad.
Nisa kuia				how old			quantos año					Nisa kuia inkau	How old are you?	¿Quantos años tienes?
kunau'u		SIL spells it "kuna'a"		to remember			recordar							
kuntsitsi				to wear			traer							
kuu				is			es					Nchii kuu ño'o	What is this?	¿Qué es este?
kuun savi				it rains	it's raining		llueve	está llueviendo				Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
Tina luu				puppy			cachorro					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
mi'ncha				prickly pear			nopal					Nako'on tienda , ntakuaan mi'ncha	Let's go to the store to buy nopales.	Vamos a la tienda para comprar nopales.
sa'a na		is this "na" for 'they' as in the inflection of the verb? is this "na" for 'they' as in the inflection of the verb?		they make			hacen					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
nakatso				for us to eat			para que comamos					Sava'a chuun nakatso	Cook the chicken for us to eat	Cocina el pollo, para que comamos.
nako'on				let's go			vamos					Ntakoo , nako'on nuu yav'i	Wake up, lets go to the plaza.	Despiértate, vamos a la plaza.
nanu				your name			te llamas					Sana inu yu nixi nanu	I forgot what your name is.	Olividé cómo te llamas.
Vitsi nchu'a yee				it is very cold			hace muy frío					Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
							where	dónde				Kunau'u nchíí kaku xu'un	Remember where you left the money	Recuerda dónde pusiste el dinero.
nisa				how much?			quanto?							
nixi				how	cómo							A tsituninu nixi ka'an yu	Do you understand how I am speaking? Do you understand what I am saying?	Entiendes como estoy hablando?
nixi												Sana inu yu nixi nanu	I forgot what your name is.	Olividé cómo te llamas.
ntakoo				to wake up			despertarse							
ntakuaan				to buy			comprar							
ntakuaan		why is this in infinitive? (and not in 1pl)?		to buy			comprar					Nako'on tienda , ntakuaan mi'ncha	Let's go to the store to buy nopales.	Vamos a la tienda para comprar nopales.
ntane'e				to pick up			recoger							
ntasama				to change			cambiar							
ntaxito tachi				to breath			respirar							
Ixi ntikachi				wool			lana					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
ntsa				?	on		?	su				Kaki sulu ntsa nuu sa'ma	Put that baby on the clothes	Ponga este bebé su las ropas.
ntsio				I lived			yo vivía					Saan ntsio Yucha Ncho'o	Before I lived in Puebla I used to live in Puebla	Antes, yo viviá en Puebla.
ntsitu titsi				to be full			estar lleno							
ntsitu titsi		low tone on final "i" in "titsi" for 1sg low tone on final "i" in "titsi" for 1sg	literal translation literal translation	I'm full	my stomach is full		estoy lleno							
nuu				into			por					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
nuu				at			a					In kua'a ka skua'i nuu universdad	A sister of mine studied at the university.	Mi hermana estudió a la universidad.
nuu				to			a					Ntakoo , nako'on nuu yav'i	Wake up, lets go to the plaza.	Despiértate, vamos a la plaza.
sa'a na		is this "na" for 'they' as in the inflection of the verb? is this "na" for 'they' as in the inflection of the verb?		they make			hacen					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
sa'ma				clothes			ropas					Kaki sulu ntsa nuu sa'ma	Put that baby on the clothes	Ponga este bebé su las ropas.
sa'ma				clothes			ropas					Kuntsitsi sa'ma ka'nu yo'o	Wear these big clothes.	Lleva estas ropas grandes.
sa'ma				clothes			ropas					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
sa'mu				your clothes			tus ropas					Ntane'e sa'mu	Pick up your clothes.	Recoge tus ropas.
saan				before			antes							
sata tiutsa				bark			corteza					Nikai sata tiutsa	The tree bark was burning.	La corteza estaba quemando.
sava'a				to cook	to prepare		cocinar	preparar						
kuun savi				it rains	it's raining		llueve	está llueviendo				Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
sketa ti				is running			está corriendo					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
skua'i				studied			estudió					In kua'a ka skua'i nuu universdad	A sister of mine studied at the university.	Mi hermana estudió a la universidad.
stiki				cow			vaca					Xiko stiki ka'nu		
ta				when			quando					Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
ntaxito tachi				to breath			respirar							
Ntaxito tachi				breathe			respira					Ntaxito tachi anu	Breath into your heart.	Respira en la corazón.
takaa kaa		Used with "kaa"; maybe should be "takaa (U) kaa"		to look like	be the same as		parecerse a							
sketa ti				is running			está corriendo					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
tienda				store			tienda							
tienda				store			tienda					Nako'on tienda , ntakuaan mi'ncha	Let's go to the store to buy nopales.	Vamos a la tienda para comprar nopales.
ntsitu titsi				to be full			estar lleno							
ntsitu titsi		low tone on final "i" in "titsi" for 1sg low tone on final "i" in "titsi" for 1sg	literal translation literal translation	I'm full	my stomach is full		estoy lleno							
sata tiutsa				bark			corteza					Nikai sata tiutsa	The tree bark was burning.	La corteza estaba quemando.
tsa'a				for			por					Cha'vi tsa'a ve'e	Pay for the house.	Paga por la casa.
tsituninu		should glossform be "tsitunini" or "tsitu nini"?		to understand			entender							
tsituninu				you understand	entiendes							A tsituninu nixi ka'an yu	Do you understand how I am speaking? Do you understand what I am saying?	Entiendes como estoy hablando?
universdad				university			universdad					In kua'a ka skua'i nuu universdad	A sister of mine studied at the university.	Mi hermana estudió a la universidad.
va'i				is good			es buena					Ixi ntikachi ka va'i sa'a na sa'ma	The sheep's fur is good to make clothes with.	La lana de oveja es bueno para hacer ropas.
ve'e				house			casa					Cha'vi tsa'a ve'e	Pay for the house.	Paga por la casa.
vilu				cat			gato					Nisa ya'vi vilu ka	How much is that cat?	¿Cuanto cuesta este gato?
vitsi				cold			frío							
Kini xeen				ugly			feo					Kini xeen kau .	You're ugly.	Eres feo.
xiko				to sell			vender							
xito ku				your uncle			yu tío					Takaa xito ku kau	You look like your uncle.	Pareces a tu tío.
							money					Kunau'u nchíí kaku xu'un	Remember where you left the money	Recuerda dónde pusiste el dinero.
xu'un				money			dinero					Ntsama xu'un yo'o	Change this money.	Cambias este dinero.
ya'vi				costs			cuesta					Nisa ya'vi vilu ka	How much is that cat?	¿Cuanto cuesta este gato?
yakua				dirty			sucio							
yav'i				plaza			plaza					Ntakoo , nako'on nuu yav'i	Wake up, lets go to the plaza.	Despiértate, vamos a la plaza.
Vitsi nchu'a yee				it is very cold			hace muy frío					Vitsi nchu'a yee ta kuun savi	It's very cold when it rains.	Hace muy frío quando llueve.
yo'o				this			este					Ntsama xu'un yo'o	Change this money.	Cambias este dinero.
yo'o				these			estas					Kuntsitsi sa'ma ka'nu yo'o	Wear these big clothes.	Lleva estas ropas grandes.
ka'an yu				I'm saying	I'm speaking	estoy diciendo						A tsituninu nixi ka'an yu	Do you understand how I am speaking? Do you understand what I am saying?	Entiendes como estoy hablando?
				I forgot			olividé					Sana inu yu nixi nanu	I forgot what your name is.	Olividé cómo te llamas.
yucha				river			río					Tina luu sketa ti nuu yucha	The puppy is running on the rivier.	El cachorro corre por el río.
ño'o				this			este					Nchii kuu ño'o	What is this?	¿Qué es este?

