Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
iñu				six			seis					Iñu tiki ÷ uni choko = uvi tiki i'iin choko		
kumi				four			cuatro					Kumi chiki ÷ in ñasi'i = kumi chiki takua mii		
kuna'u				remember			recuerda					Kuna'u : Dividir kunia kachia stucha ko .	Remember: "divide" means to distribute.	Recuera: "dividir" significa distribuir.
kuna'u				remember			recuerda					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
kuna'u				remember			recuerda					Kuna'u : Nastucha ko in numero nuu uvia , saan so tsa'i sava ntaa numero .	Remember: when we distribute a number among two, it always yields exactly half of that number.	Recuerda: quando distribuimos un número entre dos, siempre produce exactamente la mitad de ese número.
kuu				he can			puede					Kuu ntakuain ______ pastel .		
kuu				he can			puede					Kuu ntakuain  ______ ntoko .		
kuu				he can			puede					Kuu ntakuain ______  vasu tucha .		
kuu				can			puede					Kuu ntakuain ______  paa .		
lina				Lina			Lina					Ña'a yo'o kuu na Lina .	This woman is Lina.	Esta mujer es Lina.
mitu'un				by oneself			por si mismo					Mitu'un ñasi'i , kunkatsia ntikumi chiki .	The girl will eat all four cactus pears by herself.	La niña va a comer cada de los cuatro nopales por ella misma.
mitu'un				alone			solo					Mitu'un ña'a yo'o , kuntaki'in nti'u'un ita .	This woman will pick all five flowers by herself.	Esta mujer va recoger los cinco flores por ella misma.
nakutu'a ko				let's learn										
nastucha ko				we divide			dividamos					Kuna'u : Nastucha ko in numero nuu uvia , saan so tsa'i sava ntaa numero .	Remember: when we distribute a number among two, it always yields exactly half of that number.	Recuerda: quando distribuimos un número entre dos, siempre produce exactamente la mitad de ese número.
nchii				where			cuando					Nchii numero nikuni nastucha ko ntisa mii cha saan so kunkui in .	Where we want to divide a number by itself it will always equal one.	Cuando queremos dividir un numero por si mismo, siempre egal uno.
nchii				when			cuando					Kuna'u : Nchii numero nikuni nastucha na nuu mito'on , cha suu numero yo'o kunkukui .	Remember when we wanted to divide a number by itself then it will equal the same number.	Recuera que cuando querimos dividir un numero por si mismo, egal el mismo numero.
nisa				how many			quantos					¿ Nisa tikuaa kuntuta'an kue ñasi'i tatu nastucha ko una ti nuu kumi ñasi'i ?	How many oranges will the girls get if we distribute eight of them between four girls?	¿Quantas naranjas recibirán las niñas se distribuimos de ellos entre cuatro niñas?
stucha kue				we divide			dividimos					Stucha kue numero ña inkaa nuu ntua sara kunu nchi ntilesu ntuta'in , sara ntana'a in linia takua ta in ta in ntilesu ntane'e ti ntua katsi ti .	We divide the numbers that are on the vegitables then you will know which rabbit has it. Then draw a line for each of the rabbit to hop across and find the vegitable and eat it. 	Dividamos los numeros que están en las verduras luego vas a saber cual conejo lo tiene. Luego dibuja una linea para cada conejo  saltar y encontrar y comer la verdura.
stucha kue				we divide			dividimos					Stucha kue numero ña inkaa nuu nchiso lurru yo'o , sara ntachi ta'un ña , takua kunu nchi tsio vee ka .	We divide the numbers that are on this donkey's sacks, then add it all up so that you know which side is heavier.	Dividimos los numeros que están en los sacos del burro, luego lo addiciona para que sabes cual lado es el mas pessado.
