Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
ika				there			allí					Ika , ntsikaa in tuyuku ña ka'nu ka nuu nti'a suku tu yachi kua uni xiko metru a in sientu metru .	There stood a big sabine tree that was so tall, (?) nearly around 60 meters or one hundred meters.	Allí estaba un gran sabino que era tan alto (?)... cerca de sesenta metros o cien metros.
kachi na				they told			dijeron					Kachi na ña kuentu yo'o nintoo yachi kua uni a kumi sientu kuia ; ntsino .	They said that  this story was passed down nearby here around three or four hundred years in our past.	Dijeron que este cuento fue passado acerca de aquí desde cerca de tres o cuatro cientos años en nuestro passado.
kachi na				they said			dijeron					Kachi na ña ntsikaa yutu yo'o ra ntsitsi'i kueña kuachi vari keti nuu chikuii ka , vari ka'nu nchu'a laguna ka .	They said that this tree stood (?)..because it arose out of the water, because the lagoon was so big.	Decían que este arból estaba parado (?) porque se levantó del agua, porque la laguna era tan grande.
yucha ncho'o				Puebla			Puebla					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
				?			?					Sara ntsa'ncha na tu ntuu ñuu vari mee Sto'o Nchuxi kue nitsa'a ya ichi .	Then they chopped it down, to this day the town (?).	Y lo cortaron, hasta la fecha (?)...
nikachi na				they said			dijeron					Nikachi na ntsikaa in tuyuku ka'nu ña uvi numa , yachi nuya'vi ñuu ka tikoi ka , yachi nuu inkaa laguna nuu nikitsaa ntasa'a na nuu ntsikuu nuya'vi kue kiti yu'u yucha ka .	They told of a big Sabine tree which stood and that had two branches nearby the town's plaza (?) 	
nkoyo				Mexico City			Ciudad de México					Tsa'a ña tuu tsito na ichi tuyuku ka mancha Yucha Ncho'o , mancha Tehuacán , mancha Nkoyo ra tuu tsito na ichi .		
nuu norti		variant of "Chi kuchi", place in dictionary as related entry (etym: loanword)		to the North	North		al Norte	Norte				Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
ntakani				I am tellling			estoy contando					Ntakani tu'un yata yo'o takua saan kue nivi ña kua'an na nuu Norti , sna'a na ña nuu se'e na vari kue tsini na tu'un yata ñoo .	I am telling this story so that the people who go North teach it to their children because they don't know the legend of our town.	Estoy contando esta leyenda para que la genten que va al Norte la enseñen a sus niños porque no saben la leyenda de nuestro pueblo.
saan				that's how			es así que					Saan sa'a na sara ntuva tu .		
sara				then			y					Sara inkaa yatsi kua'a ra tsiko nui nuu chikuii ka .	And then there was a (?) bowl and it was circling around in the water.	
