Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha miki nitsikuu tava kueyi ña , cha ntsikana kava kueyi nuu chikuii ka .		
inka				another			otro					Inka kua saan kumi kuatsika nuu ma'in ñuu nuu ntsikaa tuyuku chi nuu veñu'u .		
inkaa tu  kuia		phrase formula for age: "inkaa + (pron) + (num) + kuia"		it was two thousand years old			tenía dos mil años de edad					Inkaa tu uvi mil kuia cha ka'nu tu kua uxiko uvi metru ; suku ta .	It was two thousand years old and it was big, around fourty two meters; very tall.	Tenía dos mil años de edad y era grande, cerca de cuarenta y dos metros; muy alto.
yucha ita				Flower lake			lago de Flor					Sara in numa niyai chi tsio kuchi , chi nuu Yucha Ita nania Tixitu .		
ñuu ka'nu				The Big Town			El Pueblo Grande					Ñaño'o kuu iin ña ntakani ñatu'un tuyuku Ñuu Ka'nu .		
ñuu ka'nu				Big City			Ciudad Grande					Ñuu yo'o kunkui Ñuu Ka'nu tono Nkoyo .		
kachi na				they say			dicen					Kachi na ña Tule luulu se'e Tule ka'nu kuu tu .	They say that El Tulito is the offspring of the big Tule.	Dicen que El Tulito es la cría del Tule grande.
kue nivi				the people			la gente					Kue nivi skunani na ña " Yutu Tuyuku Tule " .	The people named it "the sabine Evergreen cypress tree".	La gente lo llaman "el sabino ahuehuete".
ma nikunchee kuera				they didn't see			no vieron					Ma nikunchee kuera kancha ra tu iin kii .		
nko'yo				Mexico City			Ciudad de México					Sara saan ntsio ya'a ka kua'an ti Nko'yo ra ntsikuntu'u ti nuu tumin'cha .	And that's how it happened that the eagle came to Mexico city and landed on the prickly pear cactus.	Y así es como ocurrió que la águila vino a la Cuidade de México y arerrizó en el nopal.
sa'ma ka'nu nkoyo				the Mexican flag	Mexico		bandera Méxicana	México				Tsa'a ña yee in ya'a nuu ma'in sa'ma ka'nu ña Nkoyo .	And that's why there is an eagle in the middle of the Mexican flag.	Y por esto hay una ágila en el medio de la bandera Méxicana.
sa'ma ka'nu ña nkoyo				Mexican flag			la bandera de México					Sara nikintoo ti nuu sa'ma ii ña nani sa'ma ka'nu ña Nkoyo ;		
