Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
na'a katsi ni staa				Let's go eat (formal)	Let's eat		Vamos comer (formal)					na'a katsi ni staa		
na'a katsu staa				Let's go eat	Let's eat		Vamos comer					na'a katsu staa		
kua'an kueni				you are going			Ustedes vayan	Ustedes están indo						
kua'an kueni				you are going			Ustedes vayan	Ustedes están indo						
na'a katsi ni staa				Let's go eat (formal)	Let's eat		Vamos comer (formal)					na'a katsi ni staa		
na'a katsu staa				Let's go eat	Let's eat		Vamos comer					na'a katsu staa		
nchikaa				plantain			plátano							
na'a katsi ni staa				Let's go eat (formal)	Let's eat		Vamos comer (formal)					na'a katsi ni staa		
na'a katsi ni staa				Let's go eat (formal)	Let's eat		Vamos comer (formal)					na'a katsi ni staa		
na'a katsu staa				Let's go eat	Let's eat		Vamos comer					na'a katsu staa		

