Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
Cha'cha nchu'a				very slow			muy lento							
Chaa ntsanu				the old man			el anciano					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
kaku				to be born			nacer							
katsi				to taste			probar	saber						
kava				to turn			girar							
Kini 				mean			tacaño							
Kini 		this is not inflected for person because the person is stated explicitly (kue nivi)/		mean			tacaño					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.
Koo ixi				to be bald			ser calvo							
kuaya'a		collocate (the street); should this be "kua'a ya'a" or is this correct? (or does it vary like "kuanu'u" ~"kua'a nu'u")		to cross (the street)			cruzar (la calle)							
Kucha so'o				I hear			oigo					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
Kunchatu				let's stop			paramos					Kunchatu nakatso staa .	They will stop and we'll eat tortillas. Is this "Kunchatu na katso staa"  (They will stop and we will eat tortillas) or "Kunchatu nakatso staa"? (Let's stop and eat tortillas)	Van a parar y vamos a comer tortillas.
michuni				right now			ahora					Michuni ka'nti savi .	There's thunder right now.	Ahora está tronando.
Na'a katsi				let's eat			comemos					Na'a katsi staa yo'o , va'a tsatsia	Let's eat this tortilla, it's good!	Comemos esta tortilla, sabe buena!
na'a				let's			vamos a					Na'a naka'nu .	Let's kill it! should this be "ka'no"? (1pl. as in"katso"?) or should "na" be "ña" and the verb "ka'nu"? where is the object of the sentence?	¡Matamos lo!
nchi'chi				smart	intelligent	intellectual	inteligente							
Nikaku				were born			nacieron					Nikaku uvi tina luu .	Two puppies were born.	Nacieron dos perritos.
Nikuu				was	era							Nikuu nchi'chi nchu'a	He/she was very smart.	El/ella era muy inteligente.
Nintane'e				I found			encontré					Nintane'e in sa'va .	I found a frog.	Encontré un rana.
Nta'vi inia		this should probably be "Ntavi ini" ("inia" is inflected for 3sg)		sad			triste							
Nta'vi ini yu				I'm sad			estoy triste							
Ntanchiko				I turned around			me di vuelta					Ntanchiko kitsu ve'e .	?	?
Ntsio				I live			vivo					Ntsio Santa Maria	I lived in Santa Maria.	Yo vivía a Santa Maria.
Stiki ncha'i				black bull			toro negro					Stiki ncha'i ka'nu nchu'a kui	The black bull is too big.	El toro negro es demadiado grande.
Tava				take out			saque					Tava mi'i .	Take out the trash	Saca la basura.
tina				perro			dog					Tina ka ku'ntu nchu'i	The dog is very lazy.	El perro es muy perezoso.
Tsini Tsini				to need	to have to		necessitar							
Tsini ñu'u				I need			necessito					Tsini ñu'u katsi staa .	I  need to eat tortillas.	Necessito comer tortillas.
va'a				nice	kind		amable							
Va'a nchu'a inu				is very kind			es muy amable					Va'a nchu'a inu ñani yu	My friend is very nice.	Mi amigo es muy amable.
Va'a kita'an inu				to get along with someone			llevarse bien con alguien							
Va'a kita'an ini yu tsi				I get along well with			llevo bien con					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
vilu				cat			gato					Vilu yo'o vixi nchu'a	This cat is really funny.	Este gato es mu chiste. Estoy triste que..?.
cha'cha				stupid	slow		tonto	lento						
iñú chiki				cactus with spines										
in				a			una					Nintane'e in sa'va .	I found a frog.	Encontré un rana.
Nta'vi ini yu				I'm sad			estoy triste							
Va'a kita'an ini yu tsi				I get along well with			llevo bien con					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
Nta'vi inia		this should probably be "Ntavi ini" ("inia" is inflected for 3sg)		sad			triste							
intu'u tsika				?			?							
Va'a nchu'a inu		should this be "ini"? "inu" seems like it should be 2nd person but the use of 1sg possesive seems to be speaking about the friend. Unless it is saying "you are very kind my friend". should this be "ini"? "inu" seems like it should be 2nd person but the use of 1sg possesive seems to be speaking about the friend. Unless it is saying "you are very kind my friend".		is very kind			es muy amable					Va'a nchu'a inu ñani yu	My friend is very nice.	Mi amigo es muy amable.
Va'a kita'an inu		Should "inu" be "ini"?		to get along with someone			llevarse bien con alguien							
Koo ixi				to be bald			ser calvo							
koo ka ixi xini ra				his head is bald			su cabeza es calva					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
iñu	iɲũ̀			six			seis							
iñú chiki				cactus with spines										
koo ka ixi xini ra				his head is bald			su cabeza es calva					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
ka'nti savi				it's thundering			está tronando					Michuni ka'nti savi .	There's thunder right now.	Ahora está tronando.
ka'nu nchu'a				too big			demasiado grande					Stiki ncha'i ka'nu nchu'a kui	The black bull is too big.	El toro negro es demadiado grande.
kaja		check on how to spell import words form Spanish with [h]		box			caja							
Na'a katsi				let's eat	tortilla		comemos	tortilla				Na'a katsi staa yo'o , va'a tsatsia	Let's eat this tortilla, it's good!	Comemos esta tortilla, sabe buena!
katsi				I eat			como					Tsini ñu'u katsi staa .	I  need to eat tortillas.	Necessito comer tortillas.
Va'a kita'an inu				to get along with someone			llevarse bien con alguien							
Va'a kita'an ini yu tsi				I get along well with			llevo bien con					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
kitsaa		this also is not inflected (for person) and appears to be present tense (as the past would be "nikitsaa"). Also is this arrive or begin? (i.e. 'the founders of the town')?		are arriving			llegan					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.
kitsi				?			?					Kuaya'a yucha tsan kitsi .	I crossed the river with?	?
kitsu				?			?					Ntanchiko kitsu ve'e .	?	?
ko'o	kò'ó			plate			plato							
koo ka ixi xini ra				his head is bald			su cabeza es calva					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
koo	koò			snake			culebra							
koo	kòó			to not exist			no existir							
koyi				beam of light			haz de luz							
ku'ntu				perezoso	es muy perezoso		lazy	is very lazy				Tina ka ku'ntu nchu'i	The dog is very lazy.	El perro es muy perezoso.
kucha so'o				to hear			oír							
kue nivi				the people			la gente					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.
kue nivi				people			la gente					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
kui				is			es					Stiki ncha'i ka'nu nchu'a kui	The black bull is too big.	El toro negro es demadiado grande.
kulisto kuu		is this inflected?		Be carefull								kulisto kuu		
kulisto kuu		is this inflected?		Be carefull			Cuidado					kulisto kuu		
lurru				donkey			burro							
tina luu				puppy			perrito	cachorro				Nikaku uvi tina luu .	Two puppies were born.	Nacieron dos perritos.
mi'i	míʔi			trash			basura							
naka'nu				we kill			matamos					Na'a naka'nu .	Let's kill it! should this be "ka'no"? (1pl. as in"katso"?) or should "na" be "ña" and the verb "ka'nu"? where is the object of the sentence?	¡Matamos lo!
nakatso				let's eat			comemos					Kunchatu nakatso staa .	They will stop and we'll eat tortillas. Is this "Kunchatu na katso staa"  (They will stop and we will eat tortillas) or "Kunchatu nakatso staa"? (Let's stop and eat tortillas)	Van a parar y vamos a comer tortillas.
nani				rows intertwined										
Stiki ncha'i				black bull			toro negro					Stiki ncha'i ka'nu nchu'a kui	The black bull is too big.	El toro negro es demadiado grande.
nchatu				to stop			parar							
nchi'chi nchu'a				very smart			muy inteligente					Nikuu nchi'chi nchu'a	He/she was very smart.	El/ella era muy inteligente.
nchichi	ntʃitʃi			green bean			ejote							
nchii				what			lo que					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
ka'nu nchu'a				too big			demasiado grande					Stiki ncha'i ka'nu nchu'a kui	The black bull is too big.	El toro negro es demadiado grande.
nchi'chi nchu'a				very smart			muy inteligente					Nikuu nchi'chi nchu'a	He/she was very smart.	El/ella era muy inteligente.
Cha'cha nchu'a				very slow			muy lento							
vixi nchu'a				is very funny			es muy chiste					Vilu yo'o vixi nchu'a	This cat is really funny.	Este gato es mu chiste. Estoy triste que..?.
Va'a nchu'a inu				is very kind			es muy amable					Va'a nchu'a inu ñani yu	My friend is very nice.	Mi amigo es muy amable.
ku'ntu nchu'i				es muy perezoso			is very lazy					Tina ka ku'ntu nchu'i	The dog is very lazy.	El perro es muy perezoso.
kue nivi				the people			la gente					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.
kue nivi				people			la gente					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
nta'i				is crying			está llorando					¿ Ana nta'i ?	Who's crying?	¿Quién llora?
ntachiko				to turn around			darse vuelta							
ntatu'un				are saying			dice					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
Chaa ntsanu				the old man			el anciano					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
koo ka ixi xini ra				his head is bald			su cabeza es calva					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
sa'va				frog			rana					Nintane'e in sa'va .	I found a frog.	Encontré un rana.
saan so				always			siempre							
savi xeen				storm			tormenta							
ka'nti savi				it's thundering			está tronando					Michuni ka'nti savi .	There's thunder right now.	Ahora está tronando.
saan so				always			siempre							
kucha so'o				to hear			oír							
Kucha so'o				I hear			oigo					Kucha so'o nchii ntatu'un kue nivi	I hear what the people are saying I hear what the people (have been?) saying	Oigo lo que dice la gente
tsi'i soko				is hungry			tiene hambre					¿ Ana tsi'i soko ?	Who's hungry?	¿Quién tiene hambre?
staa				this			esta					Na'a katsi staa yo'o , va'a tsatsia	Let's eat this tortilla, it's good!	Comemos esta tortilla, sabe buena!
staa				tortilla			tortilla					Kunchatu nakatso staa .	They will stop and we'll eat tortillas. Is this "Kunchatu na katso staa"  (They will stop and we will eat tortillas) or "Kunchatu nakatso staa"? (Let's stop and eat tortillas)	Van a parar y vamos a comer tortillas.
staa				tortilla			tortilla					Tsini ñu'u katsi staa .	I  need to eat tortillas.	Necessito comer tortillas.
te'le		(borrowing: nauatl)		chicken			pollo							
tina luu				puppy			perrito	cachorro				Nikaku uvi tina luu .	Two puppies were born.	Nacieron dos perritos.
tsan		should this be "tsian" 'with'?		?			?					Kuaya'a yucha tsan kitsi .	I crossed the river with?	?
va'a tsatsia				it tastes good			sabe bueno					Na'a katsi staa yo'o , va'a tsatsia	Let's eat this tortilla, it's good!	Comemos esta tortilla, sabe buena!
tsatu	tsat̪ù			pants			pantalones							
Va'a kita'an ini yu tsi		Make "tsi" as a collocate, not part of the lemma Make "tsi" as a collocate, not part of the lemma		I get along well with			llevo bien con					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
tsi'i soko				is hungry			tiene hambre					¿ Ana tsi'i soko ?	Who's hungry?	¿Quién tiene hambre?
intu'u tsika				?			?							
uvi				two			dos					Nikaku uvi tina luu .	Two puppies were born.	Nacieron dos perritos.
va'a tsatsia				it tastes good			sabe bueno					Na'a katsi staa yo'o , va'a tsatsia	Let's eat this tortilla, it's good!	Comemos esta tortilla, sabe buena!
ve'e				home			casa					Ntanchiko kitsu ve'e .	?	?
vichi vichi				hurry up!			apúrate!							
vixi				funny			chiste							
vixi				funny	is very funny		chiste	es muy chiste				Vilu yo'o vixi nchu'a	This cat is really funny.	Este gato es mu chiste. Estoy triste que..?.
savi xeen				storm			tormenta							
xikui		is this inflected for person? I have "xiko" as the gloss form of 'to sell'. Should it be spelled "xíkui"?		to sell			vender							
xikui	ʃíkwi			milk			leche							
koo ka ixi xini ra				his head is bald			su cabeza es calva					Chaa ntsanu ka , koo ka ixi xini ra	The old man's head is bald.	La cabeza del anciano es calva.
yo'o				this			este					Vilu yo'o vixi nchu'a	This cat is really funny.	Este gato es mu chiste. Estoy triste que..?.
Nta'vi ini yu				I'm sad			estoy triste							
ñani yu				my friend			mi amigo					Va'a nchu'a inu ñani yu	My friend is very nice.	Mi amigo es muy amable.
Va'a kita'an ini yu tsi				I get along well with			llevo bien con					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
ñani yu				my brother			mi hermano					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
yucha				river			río					Kuaya'a yucha tsan kitsi .	I crossed the river with?	?
ña				that			que					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.
ñani yu				my friend			mi amigo					Va'a nchu'a inu ñani yu	My friend is very nice.	Mi amigo es muy amable.
ñani yu				my brother			mi hermano					Va'a kita'an ini yu tsi ñani yu	I get along well with my brother.	Me llevo bien con mi hermano.
Tsini ñu'u				I need			necessito					Tsini ñu'u katsi staa .	I  need to eat tortillas.	Necessito comer tortillas.
ñuu				town			pueblo					Kini ini kue nivi ña kitsaa ñuu .	The people that arrived in town are mean.	La gente que llegan en el pueblo son tacaños.

