Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
Kata				itches			pica					Kata nta'a .	My arm iches.	Me pica el brazo.
Koko				swallow			tragas					Koko vitaminas .	Take (swallow) your vitamins	Toma tus vitaminas.
kue				not			no					Kue ntaa ni ntsinu nia .	He/she isn't sure about it.	No está seguro.
jaa	jaá			ash			ceniza							
kata	kátá			to itch			picar							
katsi				chew			masticar							
katsi lulu				to try (food)			probar (comida)							
kaxa		onomonapeia?		to sneeze	sneeze		estornudar	estornudo						
kaxa				I sneeze			estordudo							
kaxu				you sneeze			estornudas							
ki’vi				to get stuck			atascarse							
koko	kōkó			to swallow			tragar							
koo nchii				weak			débil							
kue		given "i" in "ntai" is this a statement meaning "it is not flat" rather than a gloss?		not flat (bumpy)			agitado							
sa'a lucha				to try to do well	to strive		esforzarse por							
katsi lulu				to try (food)			probar (comida)							
				mother	woman									
koo nchii				weak			débil							
nchii	ndʒììí	how to spell! (need to avoid homograph with "what" and "where")		strength			fuerza							
ntaku ncho’ai				he/she is very strong			él/ella es muy forte							
sto’o nchuxi				god										
ntaa ni ntsinu				sure (formal)			seguro (formal)					Kue ntaa ni ntsinu nia .	He/she isn't sure about it.	No está seguro.
nia				about it								Kue ntaa ni ntsinu nia .	He/she isn't sure about it.	No está seguro.
nta'a				my arm			el brazo					Kata nta'a .	My arm iches.	Me pica el brazo.
ntaa		always used with: "ntsin(u) ni"? (to know?); Is the infinitive really "ntsin(u)" or "ntsin(i)"?		to be certain (about something)			estar seguro (de algo)							
ntaa ni ntsinu				sure (formal)			seguro (formal)					Kue ntaa ni ntsinu nia .	He/she isn't sure about it.	No está seguro.
nu’u ntaa				valley			valle							
ntaku	ndàkú			strong			fuerte							
ntaku ncho’ai				he/she is very strong			él/ella es muy forte							
ntavi	ndàvì			to roast	to toast		asar	tostar						
ntaa ni ntsinu				sure (formal)			seguro (formal)					Kue ntaa ni ntsinu nia .	He/she isn't sure about it.	No está seguro.
ntsinuun				you're drunk			eres boracho							
ntsitsa	ntzitsa	regarding texture?		?			?							
nu’u ntaa				valley			valle							
sa'a lucha				to try to do well	to strive		esforzarse por							
sto’o nchuxi				god										
tata				father			padre							
tsa'un	tzáʔū̃̃			to smoke	to burn		fumar	quemar						
tsa'un	tzāʔū̃̃			fifteen			quinze							
vita	vitá	Adjective for a solid object that can bend.		flexible			flexible							
vitaminas				vitamins			vitaminas					Koko vitaminas .	Take (swallow) your vitamins	Toma tus vitaminas.
yuchi	jutʃi			knife			cuchillo							
ñu’ma	ɲúʔmà			to give off smoke	be smoking		?							

