tmin	tier	text	tmax
0	Mixtec	 	1.59
1.40	Tokens	1	3.15
1.59	Mixtec	ntsatsi	2.20
1.59	IPA	ntsàtsi	2.20
1.59	English	they ate	2.35
2.20	IPA	nà	2.35
2.20	Mixtec	na	2.35
2.35	Mixtec	staa	2.91
2.35	English	tortillas	2.91
2.35	IPA	stàǎ	2.91
3.52	Tokens	2	5.04
3.57	Mixtec	ntsatsi	4.17
3.57	IPA	ntsàtsi	4.17
3.57	English	they ate	4.35
4.17	Mixtec	na	4.35
4.17	IPA	nà	4.35
4.35	Mixtec	staa	4.91
4.35	IPA	stàǎ	4.91
4.35	English	tortillas	4.91
6.72	Tokens	3	8.12
6.84	IPA	tsátsi	7.42
6.84	Mixtec	tsatsi	7.42
6.84	English	they are eating	7.52
7.42	IPA	nà	7.52
7.42	Mixtec	na	7.52
7.52	IPA	stàǎ	8.03
7.52	Mixtec	staa	8.03
7.52	English	tortillas	8.03
8.69	Tokens	4	9.99
8.75	IPA	tsátsi	9.26
8.75	Mixtec	tsatsi	9.26
8.75	English	they are eating	9.42
9.26	IPA	nà	9.42
9.26	Mixtec	na	9.42
9.42	IPA	stàǎ	9.88
9.42	Mixtec	staa	9.88
9.42	English	tortillas	9.88
11.10	Tokens	5	12.49
11.12	IPA	kṹk̬àtsi	11.87
11.12	Mixtec	kunkatsi	11.87
11.12	English	they will eat	12.04
11.87	IPA	nà	12.04
11.87	Mixtec	na	12.04
12.04	English	tortillas	12.45
12.04	IPA	stàǎ	12.45
12.04	Mixtec	staa	12.45
13.16	Tokens	6	14.58
13.19	Mixtec	kunkatsi	13.92
13.19	IPA	kṹk̬àtsi	13.92
13.19	English	they will eat	14.04
13.92	IPA	nà	14.04
13.92	Mixtec	na	14.04
14.04	English	tortillas	14.48
14.04	IPA	stàǎ	14.48
14.04	Mixtec	staa	14.48
