tmin	tier	text	tmax
4.06	Tokens	1	5.26
4.15	Mixtec	ntakani	4.70
4.15	IPA	ndakànì	4.70
4.15	English	tell the truth	5.18
4.70	Mixtec	ntai	5.18
4.70	IPA	ndaî	5.18
28.99	Tokens	2	30.24
29.14	IPA	ndakanì	29.63
29.14	Mixtec	ntakani	29.63
29.14	English	I'm telling the truth	30.18
29.63	Mixtec	ndaa	29.95
29.63	IPA	ndaa	29.95
29.95	IPA	jù	30.18
29.95	Mixtec	yu	30.18
46.26	Tokens	3	48.12
46.73	IPA	kúndakanì	47.40
46.73	Mixtec	kuntakani	47.40
46.73	English	I will tell the truth	47.78
47.40	IPA	ndaa	47.62
47.40	Mixtec	ntaa	47.62
47.62	IPA	jù	47.78
47.62	Mixtec	yu	47.78
58.83	Tokens	4	59.93
58.94	Mixtec	ntakani	59.47
58.94	IPA	ndàkani	59.47
58.94	English	I told the truth (person?)	59.90
59.47	Mixtec	ntai	59.90
59.47	IPA	ndaî	59.90
