file,channels,samplerate,duration_sec,format
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_beautiful_anim_02_JS.wav,1,44100,1.13,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_beautiful_anim_03_JS.wav,1,44100,1.07,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_beautiful_inan_02_JS.wav,1,44100,1.43,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_difficult_01_spkrTS.wav,1,96000,0.68,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_difficult_02_spkrTS.wav,1,96000,0.77,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_fat_02_spkrTS.wav,1,96000,0.62,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_small_02_spkrJS.wav,1,44100,1.2,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_small_03_spkrJS.wav,1,44100,1.47,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_tall_01_02_03_JS.wav,1,44100,2.7,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/ADJ_thin-narrow_OBJ_01_02_TS.wav,1,96000,1.41,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/CMND_come_down_04_05_06_07_TS.wav,1,96000,2.87,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/GRT_RESP-hello-how_are_you-form_02_spkrTS.wav,1,96000,1.2,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/GRT_hello-how_are_you-form_02_spkrTS.wav,1,96000,1.12,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/GRT_hello-how_are_you_inf_01_spkrTS.wav,1,96000,0.57,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/NUM_eight_01_spkrTS.wav,1,32000,0.79,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/NUM_five_01_spkrTS.wav,1,32000,0.79,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/NUM_four_01_spkrTS.wav,1,32000,0.63,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/NUM_nine_01_spkrTS.wav,1,32000,0.66,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/NUM_ten_01_spkrTS.wav,1,32000,0.8,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_ADJ_fat_baby_01_02_TS.wav,1,96000,2.21,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_mother_02_spkrJS.wav,1,96000,0.7,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_mother_04_spkrTS.wav,1,96000,0.53,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_mother_1s_01_TS.wav,1,96000,2.18,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_mother_1s_02_TS.wav,1,96000,0.55,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_mother_POSS_2nd_sg_inf_03_04.wav,1,96000,2.74,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/N_saa_savi_02_spkrTS.wav,1,96000,1.23,WAV
